id,actividad_id,herramienta_id,cantidad,especificaciones
79,38,29,2,Herramienta para Cambiar filtro de aire
80,38,31,1,Herramienta para Cambiar filtro de aire
81,38,7,1,Herramienta para Cambiar filtro de aire
82,39,53,1,Herramienta para Verificar alternador
83,40,27,1,Herramienta para Pintar partes oxidadas
84,40,60,2,Herramienta para Pintar partes oxidadas
85,41,44,2,Herramienta para Verificar controles
86,41,29,2,Herramienta para Verificar controles
87,42,16,2,Herramienta para Revisar nivel de refrigerante
88,42,31,1,Herramienta para Revisar nivel de refrigerante
89,43,16,1,Herramienta para Revisar pastillas
90,44,54,2,Herramienta para Inspeccionar rodillos
91,44,8,1,Herramienta para Inspeccionar rodillos
92,44,14,1,Herramienta para Inspeccionar rodillos
93,45,3,2,Herramienta para Engrasar articulaciones
94,45,21,1,Herramienta para Engrasar articulaciones
95,46,23,1,Herramienta para Revisar convertidor
96,46,27,1,Herramienta para Revisar convertidor
97,46,29,1,Herramienta para Revisar convertidor
98,47,22,2,Herramienta para Verificar pasadores
99,47,35,2,Herramienta para Verificar pasadores
100,48,11,1,Herramienta para Cambiar filtro de aire
101,48,39,1,Herramienta para Cambiar filtro de aire
102,48,31,1,Herramienta para Cambiar filtro de aire
103,49,24,1,Herramienta para Cambiar aceite de motor
104,49,22,2,Herramienta para Cambiar aceite de motor
105,49,12,1,Herramienta para Cambiar aceite de motor
106,50,46,2,Herramienta para Ajustar embrague
107,50,37,2,Herramienta para Ajustar embrague
108,51,40,2,Herramienta para Revisar nivel de refrigerante
109,51,47,1,Herramienta para Revisar nivel de refrigerante
110,52,56,2,Herramienta para Reparar abolladuras
111,52,55,2,Herramienta para Reparar abolladuras
112,53,15,2,Herramienta para Inspeccionar DPF
113,53,17,1,Herramienta para Inspeccionar DPF
114,53,59,1,Herramienta para Inspeccionar DPF
115,54,36,2,Herramienta para Revisar dientes
116,55,54,2,Herramienta para Verificar termostato
117,56,5,2,Herramienta para Limpiar filtros de aire acondicionado
118,56,9,2,Herramienta para Limpiar filtros de aire acondicionado
119,56,8,2,Herramienta para Limpiar filtros de aire acondicionado
120,57,32,2,Herramienta para Pintar partes oxidadas
121,57,15,1,Herramienta para Pintar partes oxidadas
122,57,13,1,Herramienta para Pintar partes oxidadas
123,58,48,1,Herramienta para Cambiar aceite de transmisión
124,58,59,1,Herramienta para Cambiar aceite de transmisión
125,59,6,2,Herramienta para Revisar mangueras
126,59,14,2,Herramienta para Revisar mangueras
127,60,14,1,Herramienta para Engrasar articulaciones
128,61,56,1,Herramienta para Verificar controles
129,61,22,1,Herramienta para Verificar controles
130,62,35,1,Herramienta para Revisar tubo de escape
131,62,38,1,Herramienta para Revisar tubo de escape
132,63,50,2,Herramienta para Revisar mangueras
133,64,57,1,Herramienta para Ajustar frenos
134,65,1,2,Herramienta para Verificar bomba de combustible
135,65,58,2,Herramienta para Verificar bomba de combustible
136,66,2,1,Herramienta para Verificar alternador
137,66,1,1,Herramienta para Verificar alternador
138,66,40,1,Herramienta para Verificar alternador
139,67,39,2,Herramienta para Verificar sprockets
140,67,27,1,Herramienta para Verificar sprockets
141,68,46,1,Herramienta para Revisar batería
142,68,6,1,Herramienta para Revisar batería
143,69,11,1,Herramienta para Engrasar puntos de lubricación
144,70,11,2,Herramienta para Limpiar radiador
145,70,14,1,Herramienta para Limpiar radiador
146,70,19,1,Herramienta para Limpiar radiador
147,71,30,1,Herramienta para Verificar funcionamiento de motor
148,71,20,1,Herramienta para Verificar funcionamiento de motor
149,71,56,1,Herramienta para Verificar funcionamiento de motor
150,72,1,1,Herramienta para Inspeccionar DPF
151,72,34,2,Herramienta para Inspeccionar DPF
152,72,30,2,Herramienta para Inspeccionar DPF
153,73,58,2,Herramienta para Revisar batería
154,73,47,2,Herramienta para Revisar batería
155,74,28,1,Herramienta para Cambiar aceite hidráulico
156,74,15,2,Herramienta para Cambiar aceite hidráulico
157,75,47,1,Herramienta para Revisar pastillas
158,76,57,2,Herramienta para Ajustar embrague
159,76,4,1,Herramienta para Ajustar embrague
160,76,9,1,Herramienta para Ajustar embrague
161,77,53,2,Herramienta para Cambiar filtro de aceite
162,78,51,1,Herramienta para Inspeccionar rodillos
163,79,3,1,Herramienta para Verificar controles
164,79,30,2,Herramienta para Verificar controles
165,80,51,2,Herramienta para Verificar presión
166,80,32,1,Herramienta para Verificar presión
167,81,38,2,Herramienta para Inspeccionar correas
168,81,7,1,Herramienta para Inspeccionar correas
169,81,40,2,Herramienta para Inspeccionar correas
170,82,39,2,Herramienta para Verificar pasadores
171,83,7,2,Herramienta para Revisar mangueras
172,84,36,2,Herramienta para Verificar juego
173,84,47,1,Herramienta para Verificar juego
174,84,27,1,Herramienta para Verificar juego
175,85,47,1,Herramienta para Verificar bomba de combustible
176,85,26,2,Herramienta para Verificar bomba de combustible
177,86,9,1,Herramienta para Inspeccionar desgaste
178,86,41,2,Herramienta para Inspeccionar desgaste
179,86,28,2,Herramienta para Inspeccionar desgaste
180,87,2,1,Herramienta para Engrasar articulaciones
181,87,3,2,Herramienta para Engrasar articulaciones
182,87,35,1,Herramienta para Engrasar articulaciones
183,88,32,1,Herramienta para Revisar inyectores
184,89,12,1,Herramienta para Verificar alternador
185,89,56,1,Herramienta para Verificar alternador
186,89,25,2,Herramienta para Verificar alternador
187,90,15,2,Herramienta para Revisar pastillas
188,90,19,2,Herramienta para Revisar pastillas
189,91,41,1,Herramienta para Revisar mangueras
190,92,45,1,Herramienta para Verificar controles
191,92,11,2,Herramienta para Verificar controles
192,92,40,1,Herramienta para Verificar controles
193,93,4,2,Herramienta para Inspeccionar DPF
194,93,2,2,Herramienta para Inspeccionar DPF
195,93,41,1,Herramienta para Inspeccionar DPF
196,94,59,1,Herramienta para Inspección visual
197,95,19,1,Herramienta para Cambiar filtro de combustible
198,96,11,2,Herramienta para Verificar sprockets
199,96,54,2,Herramienta para Verificar sprockets
200,97,6,2,Herramienta para Verificar funcionamiento de motor
201,97,30,1,Herramienta para Verificar funcionamiento de motor
202,97,45,2,Herramienta para Verificar funcionamiento de motor
203,98,30,1,Herramienta para Ajustar embrague
204,99,50,1,Herramienta para Verificar cilindros
205,100,29,2,Herramienta para Revisar bomba de dirección
206,100,25,2,Herramienta para Revisar bomba de dirección
207,100,44,1,Herramienta para Revisar bomba de dirección
208,101,22,2,Herramienta para Rotar neumáticos
209,102,15,1,Herramienta para Cambiar filtro de aire
210,102,22,1,Herramienta para Cambiar filtro de aire
211,103,34,1,Herramienta para Verificar termostato
212,103,31,1,Herramienta para Verificar termostato
213,103,45,2,Herramienta para Verificar termostato
214,104,42,2,Herramienta para Revisar pastillas
215,104,15,2,Herramienta para Revisar pastillas
216,104,54,2,Herramienta para Revisar pastillas
217,105,5,2,Herramienta para Cambiar aceite hidráulico
218,106,37,1,Herramienta para Limpiar filtros de aire acondicionado
219,106,30,2,Herramienta para Limpiar filtros de aire acondicionado
220,106,23,1,Herramienta para Limpiar filtros de aire acondicionado
221,107,23,1,Herramienta para Revisar tensión de cadena
222,107,47,2,Herramienta para Revisar tensión de cadena
223,108,24,2,Herramienta para Verificar silenciador
224,108,14,1,Herramienta para Verificar silenciador
225,109,1,1,Herramienta para Inspeccionar correas
226,109,21,1,Herramienta para Inspeccionar correas
227,109,6,1,Herramienta para Inspeccionar correas
228,110,55,2,Herramienta para Drenar tanque
229,111,43,1,Herramienta para Revisar batería
230,112,30,1,Herramienta para Engrasar puntos de lubricación
231,113,55,2,Herramienta para Inspección visual
232,113,30,1,Herramienta para Inspección visual
233,113,17,1,Herramienta para Inspección visual
234,114,54,2,Herramienta para Revisar convertidor
235,114,37,2,Herramienta para Revisar convertidor
236,114,33,2,Herramienta para Revisar convertidor
237,115,20,1,Herramienta para Verificar pasadores
238,116,31,2,Herramienta para Verificar juego
239,117,34,2,Herramienta para Revisar asiento
240,117,50,1,Herramienta para Revisar asiento
241,118,1,1,Herramienta para Revisar mangueras
242,118,50,1,Herramienta para Revisar mangueras
243,118,32,2,Herramienta para Revisar mangueras
244,119,5,1,Herramienta para Revisar nivel de refrigerante
245,120,38,2,Herramienta para Cambiar filtro de aceite
246,121,36,1,Herramienta para Verificar nivel de aceite
247,121,8,2,Herramienta para Verificar nivel de aceite
248,122,41,2,Herramienta para Revisar tensión de cadena
249,122,43,2,Herramienta para Revisar tensión de cadena
250,122,49,2,Herramienta para Revisar tensión de cadena
251,123,37,2,Herramienta para Reparar abolladuras
252,123,12,2,Herramienta para Reparar abolladuras
253,124,6,2,Herramienta para Verificar líquido de frenos
254,124,19,1,Herramienta para Verificar líquido de frenos
255,124,56,2,Herramienta para Verificar líquido de frenos
256,125,2,1,Herramienta para Revisar bomba de dirección
257,126,14,1,Herramienta para Cambiar filtro de combustible
258,126,60,1,Herramienta para Cambiar filtro de combustible
259,126,1,2,Herramienta para Cambiar filtro de combustible
260,127,14,2,Herramienta para Revisar tubo de escape
261,128,31,2,Herramienta para Ajustar embrague
262,128,47,1,Herramienta para Ajustar embrague
263,128,45,1,Herramienta para Ajustar embrague
264,129,57,2,Herramienta para Revisar asiento
265,129,1,1,Herramienta para Revisar asiento
266,130,2,2,Herramienta para Verificar nivel de aceite
267,131,33,2,Herramienta para Verificar sprockets
268,132,11,2,Herramienta para Engrasar articulaciones
269,132,30,1,Herramienta para Engrasar articulaciones
270,132,42,2,Herramienta para Engrasar articulaciones
271,133,39,2,Herramienta para Revisar mangueras
272,133,11,1,Herramienta para Revisar mangueras
273,134,24,1,Herramienta para Verificar presión
274,134,52,1,Herramienta para Verificar presión
275,135,58,2,Herramienta para Revisar batería
276,135,20,1,Herramienta para Revisar batería
277,136,32,1,Herramienta para Revisar mangueras
278,137,19,2,Herramienta para Inspección visual
279,137,12,1,Herramienta para Inspección visual
280,137,42,2,Herramienta para Inspección visual
281,138,6,1,Herramienta para Drenar tanque
282,138,19,2,Herramienta para Drenar tanque
283,139,31,2,Herramienta para Revisar asiento
284,139,59,1,Herramienta para Revisar asiento
285,139,49,2,Herramienta para Revisar asiento
286,140,54,2,Herramienta para Verificar nivel de aceite
287,141,46,1,Herramienta para Revisar dientes
288,141,26,1,Herramienta para Revisar dientes
289,141,12,2,Herramienta para Revisar dientes
290,142,47,2,Herramienta para Inspeccionar desgaste
291,143,22,2,Herramienta para Verificar juego
292,143,27,1,Herramienta para Verificar juego
293,144,6,2,Herramienta para Revisar mangueras
294,144,44,2,Herramienta para Revisar mangueras
295,145,37,2,Herramienta para Inspeccionar conexiones
296,145,16,2,Herramienta para Inspeccionar conexiones
297,146,54,1,Herramienta para Cambiar aceite hidráulico
298,146,55,1,Herramienta para Cambiar aceite hidráulico
299,147,21,1,Herramienta para Cambiar aceite de transmisión
300,147,58,2,Herramienta para Cambiar aceite de transmisión
301,147,57,2,Herramienta para Cambiar aceite de transmisión
302,148,15,2,Herramienta para Ajustar frenos
303,149,32,1,Herramienta para Pintar partes oxidadas
304,150,6,2,Herramienta para Cambiar filtro de aire
305,151,38,2,Herramienta para Verificar funcionamiento de motor
306,151,6,2,Herramienta para Verificar funcionamiento de motor
307,152,52,2,Herramienta para Engrasar puntos de lubricación
308,152,54,1,Herramienta para Engrasar puntos de lubricación
309,153,44,1,Herramienta para Pintar partes oxidadas
310,153,20,2,Herramienta para Pintar partes oxidadas
311,153,41,2,Herramienta para Pintar partes oxidadas
312,154,1,1,Herramienta para Cambiar aceite de transmisión
313,155,38,2,Herramienta para Revisar dientes
314,156,24,2,Herramienta para Cambiar filtro de combustible
315,157,26,2,Herramienta para Revisar mangueras
316,158,9,1,Herramienta para Verificar cilindros
317,158,14,1,Herramienta para Verificar cilindros
318,159,1,1,Herramienta para Revisar dientes
319,160,3,1,Herramienta para Cambiar aceite de transmisión
320,160,30,2,Herramienta para Cambiar aceite de transmisión
321,160,36,2,Herramienta para Cambiar aceite de transmisión
322,161,12,2,Herramienta para Verificar controles
323,161,6,2,Herramienta para Verificar controles
324,162,33,1,Herramienta para Reparar abolladuras
325,162,32,1,Herramienta para Reparar abolladuras
326,162,57,2,Herramienta para Reparar abolladuras
327,163,43,2,Herramienta para Revisar pastillas
328,164,13,2,Herramienta para Verificar funcionamiento de motor
329,164,30,1,Herramienta para Verificar funcionamiento de motor
330,165,5,1,Herramienta para Verificar alternador
331,166,4,2,Herramienta para Cambiar filtro de aire
332,166,20,2,Herramienta para Cambiar filtro de aire
333,166,45,1,Herramienta para Cambiar filtro de aire
334,167,44,2,Herramienta para Limpiar radiador
335,168,4,1,Herramienta para Drenar tanque
336,169,31,1,Herramienta para Engrasar articulaciones
337,169,36,1,Herramienta para Engrasar articulaciones
338,170,1,1,Herramienta para Cambiar aceite hidráulico
339,170,9,1,Herramienta para Cambiar aceite hidráulico
340,170,43,2,Herramienta para Cambiar aceite hidráulico
341,171,35,2,Herramienta para Rotar neumáticos
342,171,44,2,Herramienta para Rotar neumáticos
343,171,5,1,Herramienta para Rotar neumáticos
344,172,21,1,Herramienta para Engrasar puntos de lubricación
345,172,28,1,Herramienta para Engrasar puntos de lubricación
346,172,30,2,Herramienta para Engrasar puntos de lubricación
347,173,24,1,Herramienta para Inspección visual
348,173,13,2,Herramienta para Inspección visual
349,174,35,2,Herramienta para Verificar pasadores
350,174,17,2,Herramienta para Verificar pasadores
351,174,41,2,Herramienta para Verificar pasadores
352,175,54,1,Herramienta para Inspeccionar desgaste
353,175,56,2,Herramienta para Inspeccionar desgaste
354,175,12,2,Herramienta para Inspeccionar desgaste
355,176,7,1,Herramienta para Revisar inyectores
356,176,13,1,Herramienta para Revisar inyectores
357,177,37,1,Herramienta para Verificar termostato
358,177,28,2,Herramienta para Verificar termostato
359,178,13,1,Herramienta para Verificar silenciador
360,179,5,2,Herramienta para Verificar funcionamiento de motor
361,179,20,1,Herramienta para Verificar funcionamiento de motor
362,179,27,1,Herramienta para Verificar funcionamiento de motor
363,180,44,1,Herramienta para Cambiar aceite de transmisión
364,180,6,2,Herramienta para Cambiar aceite de transmisión
365,181,46,2,Herramienta para Ajustar embrague
366,181,32,2,Herramienta para Ajustar embrague
367,182,48,2,Herramienta para Engrasar articulaciones
368,182,2,1,Herramienta para Engrasar articulaciones
369,182,50,2,Herramienta para Engrasar articulaciones
370,183,59,1,Herramienta para Engrasar puntos de lubricación
371,183,26,2,Herramienta para Engrasar puntos de lubricación
372,183,51,2,Herramienta para Engrasar puntos de lubricación
373,184,8,1,Herramienta para Cambiar filtro de aceite
374,184,6,2,Herramienta para Cambiar filtro de aceite
375,185,36,1,Herramienta para Verificar bomba de combustible
376,185,30,2,Herramienta para Verificar bomba de combustible
377,185,22,1,Herramienta para Verificar bomba de combustible
378,186,49,2,Herramienta para Inspección visual
379,186,53,2,Herramienta para Inspección visual
380,186,33,1,Herramienta para Inspección visual
381,187,47,1,Herramienta para Revisar batería
382,187,50,2,Herramienta para Revisar batería
383,188,5,2,Herramienta para Verificar sprockets
384,188,54,2,Herramienta para Verificar sprockets
385,188,19,1,Herramienta para Verificar sprockets
386,189,27,2,Herramienta para Drenar tanque
387,189,1,1,Herramienta para Drenar tanque
388,189,41,2,Herramienta para Drenar tanque
389,190,37,1,Herramienta para Revisar mangueras
390,190,5,2,Herramienta para Revisar mangueras
391,191,25,1,Herramienta para Rotar neumáticos
392,191,57,1,Herramienta para Rotar neumáticos
393,191,34,1,Herramienta para Rotar neumáticos
394,192,34,2,Herramienta para Verificar termostato
395,192,33,2,Herramienta para Verificar termostato
396,192,52,1,Herramienta para Verificar termostato
397,193,21,2,Herramienta para Verificar alternador
398,194,47,2,Herramienta para Cambiar aceite de motor
399,194,10,1,Herramienta para Cambiar aceite de motor
400,194,21,1,Herramienta para Cambiar aceite de motor
401,195,43,2,Herramienta para Engrasar articulaciones
402,195,45,1,Herramienta para Engrasar articulaciones
403,195,18,2,Herramienta para Engrasar articulaciones
404,196,42,1,Herramienta para Ajustar embrague
405,196,25,1,Herramienta para Ajustar embrague
406,197,53,1,Herramienta para Verificar líquido de frenos
407,198,16,2,Herramienta para Verificar sprockets
408,199,12,2,Herramienta para Verificar presión
409,199,32,1,Herramienta para Verificar presión
410,200,60,2,Herramienta para Revisar pastillas
411,201,16,2,Herramienta para Ajustar embrague
412,201,14,2,Herramienta para Ajustar embrague
413,201,33,2,Herramienta para Ajustar embrague
414,202,5,1,Herramienta para Revisar nivel de refrigerante
415,202,10,2,Herramienta para Revisar nivel de refrigerante
416,203,8,2,Herramienta para Verificar cilindros
417,203,19,1,Herramienta para Verificar cilindros
418,203,2,1,Herramienta para Verificar cilindros
419,204,59,2,Herramienta para Inspección visual
420,204,14,1,Herramienta para Inspección visual
421,205,10,1,Herramienta para Revisar batería
422,205,21,2,Herramienta para Revisar batería
423,205,9,2,Herramienta para Revisar batería
424,206,53,1,Herramienta para Limpiar filtros de aire acondicionado
425,206,3,2,Herramienta para Limpiar filtros de aire acondicionado
426,207,5,2,Herramienta para Revisar inyectores
427,208,37,1,Herramienta para Engrasar articulaciones
428,209,43,2,Herramienta para Revisar mangueras
429,209,6,2,Herramienta para Revisar mangueras
430,210,22,2,Herramienta para Limpiar filtros de aire acondicionado
431,210,24,2,Herramienta para Limpiar filtros de aire acondicionado
432,211,60,1,Herramienta para Inspeccionar conexiones
433,211,30,2,Herramienta para Inspeccionar conexiones
434,212,48,1,Herramienta para Cambiar filtro de aceite
435,213,41,1,Herramienta para Drenar tanque
436,213,16,1,Herramienta para Drenar tanque
437,213,18,1,Herramienta para Drenar tanque
438,214,57,2,Herramienta para Engrasar articulaciones
439,214,47,2,Herramienta para Engrasar articulaciones
440,215,57,1,Herramienta para Revisar tensión de cadena
441,216,6,2,Herramienta para Cambiar aceite hidráulico
442,217,20,1,Herramienta para Inspeccionar correas
443,218,4,1,Herramienta para Pintar partes oxidadas
444,218,12,1,Herramienta para Pintar partes oxidadas
445,218,52,2,Herramienta para Pintar partes oxidadas
446,219,7,2,Herramienta para Revisar bomba de dirección
447,219,49,2,Herramienta para Revisar bomba de dirección
448,219,15,2,Herramienta para Revisar bomba de dirección
449,220,47,2,Herramienta para Limpiar filtros de aire acondicionado
450,221,59,1,Herramienta para Inspeccionar rodillos
451,221,46,2,Herramienta para Inspeccionar rodillos
452,222,23,2,Herramienta para Revisar convertidor
453,222,16,2,Herramienta para Revisar convertidor
454,223,56,1,Herramienta para Revisar asiento
455,223,42,1,Herramienta para Revisar asiento
456,224,16,2,Herramienta para Inspeccionar correas
457,224,5,1,Herramienta para Inspeccionar correas
458,225,51,1,Herramienta para Inspeccionar desgaste
459,225,47,2,Herramienta para Inspeccionar desgaste
460,225,1,1,Herramienta para Inspeccionar desgaste
461,226,8,2,Herramienta para Revisar mangueras
462,226,48,2,Herramienta para Revisar mangueras
463,226,7,2,Herramienta para Revisar mangueras
464,227,36,2,Herramienta para Engrasar articulaciones
465,227,7,1,Herramienta para Engrasar articulaciones
466,228,32,2,Herramienta para Revisar tubo de escape
467,229,14,1,Herramienta para Revisar batería
468,230,9,2,Herramienta para Cambiar filtro de aceite
469,230,21,2,Herramienta para Cambiar filtro de aceite
470,230,33,2,Herramienta para Cambiar filtro de aceite
471,231,20,1,Herramienta para Verificar líquido de frenos
472,232,52,2,Herramienta para Limpiar filtros de aire acondicionado
473,232,28,2,Herramienta para Limpiar filtros de aire acondicionado
474,233,16,1,Herramienta para Inspección visual
475,234,50,1,Herramienta para Verificar nivel de aceite
476,234,41,2,Herramienta para Verificar nivel de aceite
477,235,10,2,Herramienta para Cambiar aceite hidráulico
478,236,12,2,Herramienta para Verificar termostato
479,236,42,2,Herramienta para Verificar termostato
480,237,20,1,Herramienta para Inspeccionar correas
481,237,45,1,Herramienta para Inspeccionar correas
482,237,28,2,Herramienta para Inspeccionar correas
483,238,29,1,Herramienta para Cambiar filtro de aceite
484,239,16,1,Herramienta para Revisar pastillas
485,240,4,2,Herramienta para Engrasar articulaciones
486,241,5,2,Herramienta para Rotar neumáticos
487,241,14,2,Herramienta para Rotar neumáticos
488,242,21,1,Herramienta para Verificar líquido de frenos
489,242,14,2,Herramienta para Verificar líquido de frenos
490,242,52,1,Herramienta para Verificar líquido de frenos
491,243,53,1,Herramienta para Drenar tanque
492,244,29,2,Herramienta para Inspeccionar DPF
493,244,24,2,Herramienta para Inspeccionar DPF
494,245,55,2,Herramienta para Engrasar articulaciones
495,245,59,1,Herramienta para Engrasar articulaciones
496,245,57,2,Herramienta para Engrasar articulaciones
497,246,51,1,Herramienta para Verificar funcionamiento de motor
498,246,44,2,Herramienta para Verificar funcionamiento de motor
499,246,40,1,Herramienta para Verificar funcionamiento de motor
500,247,9,2,Herramienta para Verificar nivel de aceite
501,248,27,1,Herramienta para Inspeccionar desgaste
502,248,51,1,Herramienta para Inspeccionar desgaste
503,248,35,2,Herramienta para Inspeccionar desgaste
504,249,56,2,Herramienta para Engrasar articulaciones
505,249,8,2,Herramienta para Engrasar articulaciones
506,250,47,1,Herramienta para Verificar sprockets
507,250,28,2,Herramienta para Verificar sprockets
508,250,2,2,Herramienta para Verificar sprockets
509,251,15,2,Herramienta para Reparar abolladuras
510,251,45,2,Herramienta para Reparar abolladuras
511,251,52,1,Herramienta para Reparar abolladuras
512,252,11,2,Herramienta para Verificar bomba de combustible
513,252,47,1,Herramienta para Verificar bomba de combustible
514,253,49,2,Herramienta para Verificar líquido de frenos
515,253,41,2,Herramienta para Verificar líquido de frenos
516,253,32,2,Herramienta para Verificar líquido de frenos
517,254,34,1,Herramienta para Ajustar embrague
518,254,36,2,Herramienta para Ajustar embrague
519,255,42,2,Herramienta para Cambiar aceite hidráulico
520,256,12,2,Herramienta para Verificar nivel de aceite
521,256,7,2,Herramienta para Verificar nivel de aceite
522,256,22,1,Herramienta para Verificar nivel de aceite
523,257,56,1,Herramienta para Verificar funcionamiento de motor
524,257,60,1,Herramienta para Verificar funcionamiento de motor
525,258,7,1,Herramienta para Cambiar filtro de combustible
526,258,44,2,Herramienta para Cambiar filtro de combustible
527,259,52,2,Herramienta para Verificar sprockets
528,259,35,2,Herramienta para Verificar sprockets
529,259,4,2,Herramienta para Verificar sprockets
530,260,59,1,Herramienta para Verificar controles
531,260,47,2,Herramienta para Verificar controles
532,261,22,2,Herramienta para Revisar bomba de dirección
533,261,58,2,Herramienta para Revisar bomba de dirección
534,262,42,2,Herramienta para Engrasar articulaciones
535,263,9,1,Herramienta para Inspeccionar conexiones
536,263,3,1,Herramienta para Inspeccionar conexiones
537,263,13,2,Herramienta para Inspeccionar conexiones
538,264,20,2,Herramienta para Verificar termostato
539,264,47,2,Herramienta para Verificar termostato
540,264,22,2,Herramienta para Verificar termostato
541,265,30,2,Herramienta para Reparar abolladuras
542,265,32,1,Herramienta para Reparar abolladuras
543,265,33,2,Herramienta para Reparar abolladuras
544,266,28,2,Herramienta para Revisar asiento
545,266,11,1,Herramienta para Revisar asiento
546,267,9,2,Herramienta para Revisar pastillas
547,267,23,2,Herramienta para Revisar pastillas
548,268,9,1,Herramienta para Cambiar aceite hidráulico
549,268,31,2,Herramienta para Cambiar aceite hidráulico
550,269,41,2,Herramienta para Limpiar radiador
551,269,31,2,Herramienta para Limpiar radiador
552,269,7,1,Herramienta para Limpiar radiador
553,270,37,1,Herramienta para Inspeccionar conexiones
554,270,57,1,Herramienta para Inspeccionar conexiones
555,270,5,1,Herramienta para Inspeccionar conexiones
556,271,6,2,Herramienta para Pintar partes oxidadas
557,271,53,1,Herramienta para Pintar partes oxidadas
558,272,24,2,Herramienta para Verificar silenciador
559,272,33,2,Herramienta para Verificar silenciador
560,272,57,2,Herramienta para Verificar silenciador
561,273,14,2,Herramienta para Verificar nivel de aceite
562,273,48,2,Herramienta para Verificar nivel de aceite
563,273,60,2,Herramienta para Verificar nivel de aceite
564,274,53,1,Herramienta para Engrasar articulaciones
565,274,26,2,Herramienta para Engrasar articulaciones
566,275,33,1,Herramienta para Revisar nivel de refrigerante
567,275,13,2,Herramienta para Revisar nivel de refrigerante
568,275,31,1,Herramienta para Revisar nivel de refrigerante
