id,actividad_id,insumo_id,cantidad,unidad,especificaciones,costo_unitario
178,75,77,4.68,Litro,Para Sistema de Frenos,19.39
179,76,61,3.35,Metro,Para Sistema de Transmisión,55.11
180,76,75,5.35,Kg,Para Sistema de Transmisión,15.27
181,76,32,5.91,Rollo,Para Sistema de Transmisión,13.99
182,76,33,6.93,Rollo,Para Sistema de Transmisión,10.95
183,77,51,4.22,Unidad,Para Filtros,285.17
184,78,4,6.01,Litro,Para Tren de Rodaje,24.05
185,78,16,2.48,Unidad,Para Tren de Rodaje,3964.04
186,78,49,0.97,Unidad,Para Tren de Rodaje,4020.01
187,79,79,6.88,Kg,Para Cabina,13.21
188,80,44,3.9,Litro,Para Neumáticos,22.01
189,81,23,6.14,Unidad,Para Motor,77.47
190,81,49,7.59,Unidad,Para Motor,4020.01
191,81,30,8.45,Kg,Para Motor,9.85
192,81,7,6.76,Unidad,Para Motor,54.31
193,82,51,6.15,Unidad,Para Cuchara y Brazo,285.17
194,83,24,4.7,Unidad,Para Sistema de Refrigeración,44.49
195,84,22,7.1,Unidad,Para Sistema de Dirección,45.22
196,84,57,3.07,Unidad,Para Sistema de Dirección,32.3
197,85,58,8.65,Unidad,Para Sistema de Combustible,83.68
198,85,55,7.61,Unidad,Para Sistema de Combustible,1559.76
199,85,35,0.62,Unidad,Para Sistema de Combustible,5.78
200,86,47,1.11,Rollo,Para Neumáticos,10.46
201,86,33,4.41,Rollo,Para Neumáticos,10.95
202,86,77,9.73,Litro,Para Neumáticos,19.39
203,86,4,2.19,Litro,Para Neumáticos,24.05
204,87,55,5.81,Unidad,Para Sistema de Dirección,1559.76
205,87,46,7.33,Unidad,Para Sistema de Dirección,2133.66
206,87,35,7.25,Unidad,Para Sistema de Dirección,5.78
207,87,24,4.06,Unidad,Para Sistema de Dirección,44.49
208,88,2,3.17,Litro,Para Sistema de Combustible,18.63
209,88,4,6.51,Litro,Para Sistema de Combustible,24.05
210,89,3,9.58,Litro,Para Sistema Eléctrico,28.41
211,90,20,4.98,Metro,Para Sistema de Frenos,23.25
212,90,45,9.63,Unidad,Para Sistema de Frenos,103.68
213,90,51,2.07,Unidad,Para Sistema de Frenos,285.17
214,90,29,8.81,Unidad,Para Sistema de Frenos,2962.21
215,91,77,8.74,Litro,Para Sistema de Refrigeración,19.39
216,91,58,9.88,Unidad,Para Sistema de Refrigeración,83.68
217,91,61,7.63,Metro,Para Sistema de Refrigeración,55.11
218,92,16,3.94,Unidad,Para Cabina,3964.04
219,93,58,6.17,Unidad,Para Sistema de Escape,83.68
220,93,50,5.7,Litro,Para Sistema de Escape,26.83
221,93,19,3.99,Unidad,Para Sistema de Escape,692.57
222,93,78,3.75,Unidad,Para Sistema de Escape,57.81
223,94,49,0.85,Unidad,Para Carrocería,4020.01
224,95,75,7.2,Kg,Para Filtros,15.27
225,95,58,1.68,Unidad,Para Filtros,83.68
226,95,6,5.77,Kg,Para Filtros,15.65
227,96,39,1.54,Litro,Para Tren de Rodaje,19.86
228,97,16,9.55,Unidad,Para Motor,3964.04
229,97,45,1.95,Unidad,Para Motor,103.68
230,98,10,3.74,Unidad,Para Sistema de Transmisión,76.95
231,98,68,6.65,Unidad,Para Sistema de Transmisión,5.19
232,98,23,6.56,Unidad,Para Sistema de Transmisión,77.47
233,99,38,0.76,Litro,Para Sistema Hidráulico,21.04
234,99,35,5.53,Unidad,Para Sistema Hidráulico,5.78
235,99,57,8.33,Unidad,Para Sistema Hidráulico,32.3
236,99,14,7.75,Litro,Para Sistema Hidráulico,41.95
237,100,64,2.25,Litro,Para Sistema de Dirección,37.39
238,100,60,4.84,Unidad,Para Sistema de Dirección,32.67
239,100,46,2.42,Unidad,Para Sistema de Dirección,2133.66
240,100,1,9.51,Litro,Para Sistema de Dirección,22.6
241,101,45,6.37,Unidad,Para Neumáticos,103.68
242,101,48,9.97,Kg,Para Neumáticos,13.54
243,101,27,5.4,Unidad,Para Neumáticos,39.85
244,102,2,1.71,Litro,Para Filtros,18.63
245,103,40,7.07,Kg,Para Sistema de Refrigeración,13.22
246,103,69,0.73,Rollo,Para Sistema de Refrigeración,11.83
247,103,23,9.53,Unidad,Para Sistema de Refrigeración,77.47
248,104,49,5.97,Unidad,Para Sistema de Frenos,4020.01
249,104,35,8.12,Unidad,Para Sistema de Frenos,5.78
250,104,28,6.54,Unidad,Para Sistema de Frenos,1350.76
251,104,72,4.83,Unidad,Para Sistema de Frenos,879.87
252,105,78,9.26,Unidad,Para Sistema Hidráulico,57.81
253,105,1,8.41,Litro,Para Sistema Hidráulico,22.6
254,105,37,2.22,Unidad,Para Sistema Hidráulico,4664.11
255,105,50,9.99,Litro,Para Sistema Hidráulico,26.83
256,106,73,8.61,Metro,Para Cabina,26.21
257,106,3,4.17,Litro,Para Cabina,28.41
258,106,7,1.77,Unidad,Para Cabina,54.31
259,107,24,6.52,Unidad,Para Tren de Rodaje,44.49
260,107,70,6.13,Litro,Para Tren de Rodaje,18.43
261,108,72,7.8,Unidad,Para Sistema de Escape,879.87
262,108,57,6.39,Unidad,Para Sistema de Escape,32.3
263,108,33,8.81,Rollo,Para Sistema de Escape,10.95
264,109,17,4.13,Unidad,Para Motor,2959.45
265,109,73,8.16,Metro,Para Motor,26.21
266,109,45,2.08,Unidad,Para Motor,103.68
267,109,10,6.97,Unidad,Para Motor,76.95
268,110,40,4.41,Kg,Para Sistema de Combustible,13.22
269,110,29,9.11,Unidad,Para Sistema de Combustible,2962.21
270,110,18,6.56,Unidad,Para Sistema de Combustible,168.23
271,111,15,8.87,Litro,Para Sistema Eléctrico,22.71
272,112,16,9.71,Unidad,Para Sistema de Lubricación,3964.04
273,112,47,3.33,Rollo,Para Sistema de Lubricación,10.46
274,112,49,4.8,Unidad,Para Sistema de Lubricación,4020.01
275,113,43,2.02,Unidad,Para Carrocería,55.3
276,114,73,1.6,Metro,Para Sistema de Transmisión,26.21
277,114,6,4.21,Kg,Para Sistema de Transmisión,15.65
278,114,55,8.52,Unidad,Para Sistema de Transmisión,1559.76
279,115,19,3.06,Unidad,Para Cuchara y Brazo,692.57
280,115,22,2.23,Unidad,Para Cuchara y Brazo,45.22
281,115,41,2.49,Unidad,Para Cuchara y Brazo,55.7
282,115,30,9.44,Kg,Para Cuchara y Brazo,9.85
283,116,75,8.62,Kg,Para Sistema de Dirección,15.27
284,117,15,1.02,Litro,Para Cabina,22.71
285,118,61,4.62,Metro,Para Sistema Hidráulico,55.11
286,118,54,5.95,Unidad,Para Sistema Hidráulico,289.96
287,118,21,6.28,Unidad,Para Sistema Hidráulico,4.69
288,119,51,8.44,Unidad,Para Motor,285.17
289,119,66,4.4,Unidad,Para Motor,87.62
290,119,8,8.08,Unidad,Para Motor,38.39
291,119,34,1.76,Unidad,Para Motor,53.29
292,120,67,1.64,Litro,Para Filtros,32.63
293,121,76,6.23,Unidad,Para Sistema de Lubricación,102.65
294,122,60,1.31,Unidad,Para Tren de Rodaje,32.67
295,122,38,3.37,Litro,Para Tren de Rodaje,21.04
296,122,54,4.21,Unidad,Para Tren de Rodaje,289.96
297,123,75,0.86,Kg,Para Carrocería,15.27
298,123,38,5.28,Litro,Para Carrocería,21.04
299,123,24,1.2,Unidad,Para Carrocería,44.49
300,124,43,9.35,Unidad,Para Sistema de Frenos,55.3
301,124,40,5.18,Kg,Para Sistema de Frenos,13.22
302,125,34,2.3,Unidad,Para Sistema de Dirección,53.29
303,125,31,6.84,Unidad,Para Sistema de Dirección,24.59
304,125,61,8.99,Metro,Para Sistema de Dirección,55.11
305,125,39,8.83,Litro,Para Sistema de Dirección,19.86
306,126,7,7.78,Unidad,Para Filtros,54.31
307,126,53,5.83,Unidad,Para Filtros,314.96
308,126,18,0.97,Unidad,Para Filtros,168.23
309,127,61,5.16,Metro,Para Sistema de Escape,55.11
310,127,64,0.98,Litro,Para Sistema de Escape,37.39
311,128,18,1.79,Unidad,Para Sistema de Transmisión,168.23
312,128,75,9.76,Kg,Para Sistema de Transmisión,15.27
313,128,42,6.6,Unidad,Para Sistema de Transmisión,88.45
314,129,17,2.09,Unidad,Para Cabina,2959.45
315,129,9,7.05,Unidad,Para Cabina,153.52
316,130,3,5.02,Litro,Para Sistema de Lubricación,28.41
317,130,36,6.71,Unidad,Para Sistema de Lubricación,867.16
318,130,24,9.17,Unidad,Para Sistema de Lubricación,44.49
319,131,27,1.06,Unidad,Para Tren de Rodaje,39.85
320,131,28,6.53,Unidad,Para Tren de Rodaje,1350.76
321,131,36,3.9,Unidad,Para Tren de Rodaje,867.16
322,132,36,3.02,Unidad,Para Cuchara y Brazo,867.16
323,132,56,7.04,Unidad,Para Cuchara y Brazo,810.73
324,132,10,6.04,Unidad,Para Cuchara y Brazo,76.95
325,133,18,3.21,Unidad,Para Sistema de Refrigeración,168.23
326,133,39,4.31,Litro,Para Sistema de Refrigeración,19.86
327,133,40,7.31,Kg,Para Sistema de Refrigeración,13.22
328,134,14,3.94,Litro,Para Neumáticos,41.95
329,134,18,4.82,Unidad,Para Neumáticos,168.23
330,134,7,7.63,Unidad,Para Neumáticos,54.31
331,134,59,5.11,Kg,Para Neumáticos,15.9
332,135,74,5.14,Unidad,Para Sistema Eléctrico,1428.35
333,135,52,8.3,Metro,Para Sistema Eléctrico,30.6
334,135,24,9.0,Unidad,Para Sistema Eléctrico,44.49
335,136,35,0.61,Unidad,Para Sistema Hidráulico,5.78
336,136,60,9.56,Unidad,Para Sistema Hidráulico,32.67
337,136,64,6.78,Litro,Para Sistema Hidráulico,37.39
338,137,12,3.24,Unidad,Para Carrocería,112.53
339,138,69,6.48,Rollo,Para Sistema de Combustible,11.83
340,138,22,7.81,Unidad,Para Sistema de Combustible,45.22
341,139,39,5.3,Litro,Para Cabina,19.86
342,140,61,6.77,Metro,Para Sistema de Lubricación,55.11
343,140,56,8.24,Unidad,Para Sistema de Lubricación,810.73
344,141,19,1.82,Unidad,Para Cuchara y Brazo,692.57
345,142,29,9.18,Unidad,Para Neumáticos,2962.21
346,142,66,8.32,Unidad,Para Neumáticos,87.62
347,142,54,8.64,Unidad,Para Neumáticos,289.96
348,142,50,8.27,Litro,Para Neumáticos,26.83
349,143,36,5.26,Unidad,Para Sistema de Dirección,867.16
350,143,50,8.78,Litro,Para Sistema de Dirección,26.83
351,143,27,5.55,Unidad,Para Sistema de Dirección,39.85
352,144,62,9.21,Unidad,Para Sistema de Refrigeración,2513.71
353,144,16,2.7,Unidad,Para Sistema de Refrigeración,3964.04
354,144,52,5.78,Metro,Para Sistema de Refrigeración,30.6
355,144,35,6.36,Unidad,Para Sistema de Refrigeración,5.78
356,145,75,3.37,Kg,Para Sistema Eléctrico,15.27
357,145,2,8.78,Litro,Para Sistema Eléctrico,18.63
358,145,25,3.2,Unidad,Para Sistema Eléctrico,252.67
359,146,59,1.75,Kg,Para Sistema Hidráulico,15.9
360,146,39,0.89,Litro,Para Sistema Hidráulico,19.86
361,147,12,1.04,Unidad,Para Sistema de Transmisión,112.53
362,147,45,8.32,Unidad,Para Sistema de Transmisión,103.68
363,147,65,2.69,Litro,Para Sistema de Transmisión,16.21
364,148,3,0.63,Litro,Para Sistema de Frenos,28.41
365,149,76,4.68,Unidad,Para Carrocería,102.65
366,149,55,4.73,Unidad,Para Carrocería,1559.76
367,150,17,3.42,Unidad,Para Filtros,2959.45
368,151,57,4.12,Unidad,Para Motor,32.3
369,151,79,9.57,Kg,Para Motor,13.21
370,151,69,9.98,Rollo,Para Motor,11.83
371,151,18,6.4,Unidad,Para Motor,168.23
372,152,79,8.99,Kg,Para Sistema de Lubricación,13.21
373,152,16,0.71,Unidad,Para Sistema de Lubricación,3964.04
374,152,3,6.04,Litro,Para Sistema de Lubricación,28.41
375,153,79,2.78,Kg,Para Carrocería,13.21
376,154,60,1.05,Unidad,Para Sistema de Transmisión,32.67
377,154,36,6.26,Unidad,Para Sistema de Transmisión,867.16
378,154,11,3.86,Unidad,Para Sistema de Transmisión,182.04
379,154,79,2.41,Kg,Para Sistema de Transmisión,13.21
380,155,35,8.83,Unidad,Para Cuchara y Brazo,5.78
381,156,26,8.12,Metro,Para Filtros,66.92
382,156,79,8.56,Kg,Para Filtros,13.21
383,156,55,1.28,Unidad,Para Filtros,1559.76
384,156,51,5.6,Unidad,Para Filtros,285.17
385,157,48,7.04,Kg,Para Sistema de Refrigeración,13.54
386,157,25,9.86,Unidad,Para Sistema de Refrigeración,252.67
387,157,29,2.62,Unidad,Para Sistema de Refrigeración,2962.21
388,157,68,8.79,Unidad,Para Sistema de Refrigeración,5.19
389,158,52,4.91,Metro,Para Sistema Hidráulico,30.6
390,158,57,9.28,Unidad,Para Sistema Hidráulico,32.3
391,158,1,4.37,Litro,Para Sistema Hidráulico,22.6
392,158,10,0.73,Unidad,Para Sistema Hidráulico,76.95
393,159,41,9.73,Unidad,Para Cuchara y Brazo,55.7
394,159,8,4.29,Unidad,Para Cuchara y Brazo,38.39
395,160,23,9.61,Unidad,Para Sistema de Transmisión,77.47
396,160,14,1.3,Litro,Para Sistema de Transmisión,41.95
397,160,73,2.46,Metro,Para Sistema de Transmisión,26.21
398,160,51,4.19,Unidad,Para Sistema de Transmisión,285.17
399,161,31,7.42,Unidad,Para Cabina,24.59
400,161,6,5.19,Kg,Para Cabina,15.65
401,161,19,2.38,Unidad,Para Cabina,692.57
402,162,28,2.72,Unidad,Para Carrocería,1350.76
403,162,25,5.25,Unidad,Para Carrocería,252.67
404,162,45,1.47,Unidad,Para Carrocería,103.68
405,163,42,7.74,Unidad,Para Sistema de Frenos,88.45
406,163,8,3.71,Unidad,Para Sistema de Frenos,38.39
407,163,5,6.32,Kg,Para Sistema de Frenos,19.17
408,164,56,7.03,Unidad,Para Motor,810.73
409,164,76,7.11,Unidad,Para Motor,102.65
410,164,51,1.28,Unidad,Para Motor,285.17
411,165,46,7.69,Unidad,Para Sistema Eléctrico,2133.66
412,165,28,0.5,Unidad,Para Sistema Eléctrico,1350.76
413,165,45,1.76,Unidad,Para Sistema Eléctrico,103.68
414,166,77,3.21,Litro,Para Filtros,19.39
415,166,21,7.42,Unidad,Para Filtros,4.69
416,167,18,1.08,Unidad,Para Sistema de Refrigeración,168.23
417,167,62,5.31,Unidad,Para Sistema de Refrigeración,2513.71
418,167,66,7.62,Unidad,Para Sistema de Refrigeración,87.62
419,168,79,3.01,Kg,Para Sistema de Combustible,13.21
420,168,29,9.59,Unidad,Para Sistema de Combustible,2962.21
421,168,63,5.68,Unidad,Para Sistema de Combustible,108.41
422,169,58,8.75,Unidad,Para Sistema de Dirección,83.68
423,170,68,3.98,Unidad,Para Sistema Hidráulico,5.19
424,171,76,2.39,Unidad,Para Neumáticos,102.65
425,171,17,7.01,Unidad,Para Neumáticos,2959.45
426,171,29,8.31,Unidad,Para Neumáticos,2962.21
427,171,69,9.07,Rollo,Para Neumáticos,11.83
428,172,1,8.88,Litro,Para Sistema de Lubricación,22.6
429,172,2,5.28,Litro,Para Sistema de Lubricación,18.63
430,172,54,2.4,Unidad,Para Sistema de Lubricación,289.96
431,173,4,8.86,Litro,Para Carrocería,24.05
432,173,43,6.17,Unidad,Para Carrocería,55.3
433,173,9,2.44,Unidad,Para Carrocería,153.52
434,173,20,1.09,Metro,Para Carrocería,23.25
435,174,34,5.07,Unidad,Para Cuchara y Brazo,53.29
436,174,48,3.29,Kg,Para Cuchara y Brazo,13.54
437,174,11,4.55,Unidad,Para Cuchara y Brazo,182.04
438,175,19,9.26,Unidad,Para Neumáticos,692.57
439,175,72,3.52,Unidad,Para Neumáticos,879.87
440,175,57,8.92,Unidad,Para Neumáticos,32.3
441,176,70,2.87,Litro,Para Sistema de Combustible,18.43
442,176,79,6.09,Kg,Para Sistema de Combustible,13.21
443,177,4,9.04,Litro,Para Sistema de Refrigeración,24.05
444,177,39,5.63,Litro,Para Sistema de Refrigeración,19.86
445,177,40,8.99,Kg,Para Sistema de Refrigeración,13.22
446,178,15,8.22,Litro,Para Sistema de Escape,22.71
447,178,53,1.21,Unidad,Para Sistema de Escape,314.96
448,178,74,3.74,Unidad,Para Sistema de Escape,1428.35
449,179,59,1.43,Kg,Para Motor,15.9
450,180,49,6.84,Unidad,Para Sistema de Transmisión,4020.01
451,180,46,8.53,Unidad,Para Sistema de Transmisión,2133.66
452,180,48,5.86,Kg,Para Sistema de Transmisión,13.54
453,181,15,0.65,Litro,Para Sistema de Transmisión,22.71
454,181,68,3.2,Unidad,Para Sistema de Transmisión,5.19
455,181,71,6.73,Metro,Para Sistema de Transmisión,80.71
456,181,75,3.6,Kg,Para Sistema de Transmisión,15.27
457,182,10,5.09,Unidad,Para Cuchara y Brazo,76.95
458,182,33,2.15,Rollo,Para Cuchara y Brazo,10.95
459,182,71,7.67,Metro,Para Cuchara y Brazo,80.71
460,183,20,8.37,Metro,Para Sistema de Lubricación,23.25
461,184,63,6.55,Unidad,Para Filtros,108.41
462,185,80,5.92,Unidad,Para Sistema de Combustible,91.42
463,185,21,6.44,Unidad,Para Sistema de Combustible,4.69
464,185,32,2.02,Rollo,Para Sistema de Combustible,13.99
465,185,24,5.75,Unidad,Para Sistema de Combustible,44.49
466,186,61,8.12,Metro,Para Carrocería,55.11
467,186,67,1.98,Litro,Para Carrocería,32.63
468,187,14,1.97,Litro,Para Sistema Eléctrico,41.95
