id,plan_id,numero_orden,descripcion_componente,actividad,tiempo_min,tiempo_promedio,tiempo_max,costo_estimado
111,13,10,Sistema de Escape,Inspeccionar DPF,40,58,72,503.14
112,13,11,Filtros,Cambiar filtro de combustible,34,59,82,234.34
113,13,12,Carrocería,Inspección visual,18,34,49,484.14
114,14,1,Sistema de Frenos,Revisar discos,31,58,78,458.18
115,14,2,Sistema de Lubricación,Engrasar puntos de lubricación,34,44,74,268.33
116,14,3,Sistema de Escape,Inspeccionar DPF,29,43,58,197.99
117,14,4,Tren de Rodaje,Ajustar tensión,25,36,59,518.09
118,14,5,Sistema de Refrigeración,Revisar bomba de agua,40,56,71,167.94
119,14,6,Sistema de Transmisión,Verificar cardanes,35,54,66,130.44
120,14,7,Cuchara y Brazo,Engrasar articulaciones,45,70,89,404.65
121,14,8,Sistema de Dirección,Revisar terminales,16,32,56,375.13
122,14,9,Neumáticos,Inspeccionar desgaste,32,57,77,593.19
123,14,10,Sistema Eléctrico,Revisar luces de trabajo,20,41,57,473.31
124,14,11,Filtros,Cambiar filtro de aire,32,51,74,103.18
125,14,12,Motor,Inspeccionar correas,32,54,65,252.42
126,14,13,Sistema Hidráulico,Revisar mangueras,32,53,70,287.36
127,14,14,Cabina,Verificar controles,44,58,82,487.89
128,14,15,Sistema de Combustible,Cambiar cañerías,36,62,77,272.33
129,15,1,Sistema de Transmisión,Verificar cardanes,19,39,62,291.89
130,15,2,Sistema de Lubricación,Verificar nivel de aceite,40,52,74,576.19
131,15,3,Sistema de Dirección,Revisar terminales,40,60,77,426.94
132,15,4,Motor,Revisar nivel de refrigerante,33,59,75,539.91
133,16,1,Neumáticos,Ajustar pernos de rueda,23,39,51,229.78
134,16,2,Sistema de Frenos,Revisar pastillas,42,59,77,555.82
135,16,3,Cabina,Revisar cinturón de seguridad,16,33,56,502.09
136,16,4,Filtros,Cambiar filtro de aire,21,37,50,150.03
137,16,5,Cuchara y Brazo,Cambiar bocinas,19,31,57,222.58
138,17,1,Motor,Revisar soportes de motor,21,35,54,334.85
139,17,2,Cuchara y Brazo,Verificar pasadores,37,54,71,83.82
140,17,3,Sistema de Transmisión,Engrasar crucetas,17,42,59,574.14
141,17,4,Neumáticos,Rotar neumáticos,42,62,87,135.43
142,17,5,Cabina,Revisar asiento,45,62,90,301.94
143,17,6,Carrocería,Revisar vidrios,17,28,51,172.45
144,17,7,Sistema de Combustible,Revisar inyectores,40,51,81,170.08
145,17,8,Sistema de Escape,Verificar silenciador,40,59,89,244.51
146,18,1,Tren de Rodaje,Ajustar tensión,19,48,60,249.5
147,18,2,Sistema de Lubricación,Cambiar aceite de motor,35,49,79,390.56
148,18,3,Carrocería,Pintar partes oxidadas,21,50,74,218.33
149,18,4,Neumáticos,Rotar neumáticos,44,72,102,142.14
150,18,5,Motor,Revisar nivel de refrigerante,37,52,70,115.22
151,18,6,Sistema Eléctrico,Verificar alternador,20,48,78,412.01
152,18,7,Cabina,Revisar asiento,23,43,53,315.93
153,18,8,Sistema de Transmisión,Verificar cardanes,33,59,81,494.83
154,18,9,Filtros,Cambiar filtro de cabina,33,45,73,464.8
155,18,10,Sistema de Dirección,Engrasar articulaciones,38,68,92,443.98
156,18,11,Sistema Hidráulico,Verificar cilindros,30,60,88,424.37
157,18,12,Cuchara y Brazo,Revisar dientes,29,50,71,263.08
158,19,1,Sistema de Dirección,Revisar terminales,45,65,88,354.77
159,19,2,Sistema de Escape,Revisar turbo,34,58,75,188.08
160,19,3,Sistema Hidráulico,Verificar cilindros,15,44,65,312.45
161,19,4,Tren de Rodaje,Verificar sprockets,35,65,90,577.15
162,19,5,Sistema de Frenos,Revisar pastillas,18,45,55,366.55
163,19,6,Motor,Revisar soportes de motor,32,56,86,285.57
164,19,7,Carrocería,Reparar abolladuras,15,28,47,289.1
165,19,8,Neumáticos,Verificar presión,22,37,63,210.63
166,19,9,Cuchara y Brazo,Soldar refuerzos,17,44,65,100.28
167,19,10,Cabina,Verificar tablero,16,39,60,180.5
168,19,11,Sistema de Refrigeración,Verificar termostato,43,53,83,141.28
169,19,12,Sistema de Transmisión,Revisar convertidor,30,45,62,583.43
170,19,13,Sistema de Combustible,Drenar tanque,38,50,62,141.42
171,19,14,Sistema Eléctrico,Inspeccionar conexiones,35,60,82,245.98
172,19,15,Filtros,Cambiar filtro de aire,19,29,55,191.83
173,20,1,Sistema de Escape,Cambiar empaques,31,44,69,561.48
174,20,2,Sistema de Refrigeración,Revisar mangueras,19,40,61,458.83
175,20,3,Sistema Hidráulico,Revisar mangueras,24,54,76,331.07
176,20,4,Tren de Rodaje,Inspeccionar rodillos,26,48,70,454.29
177,21,1,Filtros,Limpiar pre-filtro,40,65,86,107.91
178,21,2,Sistema de Refrigeración,Revisar mangueras,16,27,47,505.07
179,21,3,Sistema de Frenos,Purgar sistema de frenos,43,68,91,242.81
180,21,4,Motor,Verificar funcionamiento de motor,45,67,85,445.99
181,21,5,Sistema Eléctrico,Verificar motor de arranque,19,42,71,447.84
182,22,1,Sistema Eléctrico,Verificar motor de arranque,39,53,67,433.1
183,22,2,Sistema de Frenos,Revisar discos,37,60,73,296.71
184,22,3,Sistema de Transmisión,Engrasar crucetas,16,46,67,252.82
185,22,4,Sistema de Dirección,Revisar terminales,32,58,81,495.71
186,22,5,Sistema de Combustible,Cambiar cañerías,35,50,76,372.54
187,22,6,Motor,Ajustar válvulas,35,60,73,468.4
188,22,7,Filtros,Cambiar filtro de combustible,37,55,73,568.67
189,22,8,Sistema Hidráulico,Verificar cilindros,40,67,77,213.9
190,23,1,Carrocería,Inspección visual,45,74,90,411.75
191,23,2,Tren de Rodaje,Ajustar tensión,35,51,65,202.11
192,23,3,Cabina,Verificar tablero,43,57,68,182.89
193,23,4,Sistema de Frenos,Ajustar frenos,39,64,92,82.57
194,23,5,Sistema de Transmisión,Cambiar aceite de transmisión,32,50,78,460.29
195,23,6,Sistema de Dirección,Engrasar articulaciones,41,71,82,468.85
196,23,7,Sistema de Refrigeración,Limpiar radiador,15,40,53,153.99
197,23,8,Sistema Hidráulico,Cambiar aceite hidráulico,41,71,94,380.44
198,23,9,Sistema de Escape,Revisar turbo,20,39,65,277.9
199,23,10,Sistema de Lubricación,Cambiar aceite de motor,17,33,45,521.27
200,23,11,Neumáticos,Reparar pinchazo,16,26,50,336.59
201,23,12,Filtros,Cambiar filtro de cabina,34,50,60,450.83
202,24,1,Cabina,Revisar asiento,34,56,70,204.42
203,24,2,Sistema de Lubricación,Cambiar aceite de motor,20,45,61,165.46
204,24,3,Filtros,Cambiar filtro de aceite,20,33,47,166.05
205,24,4,Motor,Inspeccionar correas,27,46,56,445.04
206,24,5,Tren de Rodaje,Inspeccionar rodillos,43,58,68,552.8
207,24,6,Neumáticos,Rotar neumáticos,39,59,83,152.06
208,24,7,Sistema de Dirección,Verificar juego,26,54,68,191.35
209,24,8,Sistema de Escape,Cambiar empaques,38,57,67,274.76
210,24,9,Sistema de Refrigeración,Verificar termostato,34,60,78,264.54
211,24,10,Sistema Eléctrico,Revisar luces de trabajo,29,51,61,187.37
212,24,11,Sistema Hidráulico,Revisar mangueras,35,52,70,334.89
213,24,12,Sistema de Transmisión,Cambiar aceite de transmisión,36,65,94,207.13
214,24,13,Carrocería,Lavar equipo completo,43,63,87,325.94
215,24,14,Sistema de Frenos,Revisar discos,27,46,65,547.73
216,24,15,Cuchara y Brazo,Soldar refuerzos,26,47,61,532.02
217,25,1,Carrocería,Lavar equipo completo,20,31,55,112.7
218,25,2,Motor,Inspeccionar correas,31,51,79,366.82
219,25,3,Sistema Hidráulico,Verificar cilindros,32,56,74,326.1
220,25,4,Sistema de Dirección,Revisar terminales,17,45,60,173.12
221,26,1,Sistema de Dirección,Verificar juego,32,46,59,574.05
222,26,2,Tren de Rodaje,Verificar sprockets,26,54,68,544.89
223,26,3,Sistema de Escape,Revisar tubo de escape,15,31,52,272.55
224,26,4,Motor,Ajustar válvulas,43,65,84,84.81
225,26,5,Neumáticos,Reparar pinchazo,39,57,68,188.49
226,27,1,Motor,Revisar soportes de motor,25,44,58,112.77
227,27,2,Tren de Rodaje,Ajustar tensión,31,43,68,422.11
228,27,3,Neumáticos,Reparar pinchazo,28,41,54,190.21
229,27,4,Sistema de Refrigeración,Verificar termostato,23,33,48,578.58
230,27,5,Sistema de Dirección,Alinear dirección,19,48,78,96.45
231,27,6,Sistema Eléctrico,Verificar alternador,40,68,82,361.54
232,27,7,Cuchara y Brazo,Soldar refuerzos,45,61,78,449.34
233,27,8,Filtros,Cambiar filtro de cabina,40,50,75,303.65
234,28,1,Filtros,Cambiar filtro de aire,44,63,86,497.27
235,28,2,Sistema de Transmisión,Verificar cardanes,17,39,56,596.33
236,28,3,Tren de Rodaje,Ajustar tensión,36,60,85,493.88
237,28,4,Sistema de Dirección,Revisar bomba de dirección,45,67,82,501.93
238,28,5,Sistema de Escape,Revisar turbo,20,43,71,352.46
239,28,6,Sistema de Frenos,Verificar líquido de frenos,20,31,48,339.94
240,28,7,Sistema de Refrigeración,Limpiar radiador,22,50,62,412.01
241,28,8,Sistema de Combustible,Revisar inyectores,27,50,78,143.78
242,28,9,Carrocería,Pintar partes oxidadas,24,47,69,98.59
243,28,10,Cuchara y Brazo,Cambiar bocinas,24,45,66,348.11
244,28,11,Sistema Hidráulico,Medir presiones de bomba,16,27,48,510.06
245,28,12,Sistema Eléctrico,Revisar batería,19,48,61,510.28
246,29,1,Carrocería,Reparar abolladuras,32,55,71,275.31
247,29,2,Sistema de Transmisión,Verificar cardanes,25,38,48,518.74
248,29,3,Cabina,Revisar asiento,45,61,84,216.45
249,29,4,Sistema de Dirección,Verificar juego,36,51,71,277.18
250,29,5,Neumáticos,Rotar neumáticos,19,38,51,551.73
251,29,6,Sistema de Combustible,Limpiar trampa de agua,36,65,89,208.32
252,29,7,Sistema de Frenos,Revisar discos,28,44,56,593.11
253,29,8,Sistema Hidráulico,Cambiar sellos de cilindro,20,44,70,295.86
254,29,9,Sistema de Escape,Verificar silenciador,29,39,67,432.74
255,29,10,Tren de Rodaje,Ajustar tensión,18,40,60,171.8
256,29,11,Sistema de Refrigeración,Revisar bomba de agua,17,33,54,525.45
257,29,12,Sistema Eléctrico,Revisar luces de trabajo,17,42,58,430.45
258,29,13,Motor,Verificar funcionamiento de motor,39,55,77,478.81
259,29,14,Cuchara y Brazo,Cambiar bocinas,23,35,50,287.66
260,29,15,Filtros,Cambiar filtro de combustible,21,35,54,382.4
261,30,1,Neumáticos,Ajustar pernos de rueda,28,55,75,150.65
262,30,2,Filtros,Cambiar filtro de aire,24,41,71,571.52
263,30,3,Sistema de Lubricación,Verificar nivel de aceite,39,55,80,111.35
264,30,4,Sistema de Escape,Inspeccionar DPF,28,52,75,581.02
265,31,1,Sistema de Escape,Cambiar empaques,36,51,72,142.82
266,31,2,Tren de Rodaje,Ajustar tensión,42,64,87,232.91
267,31,3,Sistema Eléctrico,Verificar alternador,44,55,76,166.04
268,31,4,Sistema de Lubricación,Engrasar puntos de lubricación,15,37,49,385.5
269,31,5,Filtros,Cambiar filtro de aceite,32,57,81,133.29
270,32,1,Motor,Verificar funcionamiento de motor,24,50,76,294.18
271,32,2,Sistema de Combustible,Drenar tanque,22,47,66,98.28
272,32,3,Cuchara y Brazo,Engrasar articulaciones,26,56,67,301.9
273,32,4,Sistema de Transmisión,Engrasar crucetas,30,55,84,133.7
274,32,5,Sistema de Refrigeración,Cambiar refrigerante,28,44,58,419.04
275,32,6,Cabina,Verificar controles,15,34,61,196.4
276,32,7,Tren de Rodaje,Inspeccionar rodillos,33,51,71,108.67
277,32,8,Sistema de Lubricación,Engrasar puntos de lubricación,36,61,79,425.61
278,33,1,Sistema de Refrigeración,Revisar mangueras,33,52,62,554.62
279,33,2,Cuchara y Brazo,Soldar refuerzos,45,70,83,360.95
280,33,3,Sistema Eléctrico,Revisar batería,40,51,61,199.4
281,33,4,Sistema de Escape,Inspeccionar DPF,27,53,83,395.45
282,33,5,Sistema de Lubricación,Tomar muestra de aceite,40,70,83,470.97
283,33,6,Carrocería,Reparar abolladuras,33,58,85,178.2
284,33,7,Filtros,Limpiar pre-filtro,18,35,62,587.51
285,33,8,Sistema de Transmisión,Ajustar embrague,20,47,72,579.67
286,33,9,Sistema de Dirección,Revisar terminales,31,42,53,571.85
287,33,10,Tren de Rodaje,Medir desgaste de zapatas,21,38,66,400.02
288,33,11,Cabina,Limpiar filtros de aire acondicionado,17,37,54,239.64
289,33,12,Sistema Hidráulico,Medir presiones de bomba,22,39,68,549.74
290,34,1,Tren de Rodaje,Verificar sprockets,41,52,75,120.0
291,34,2,Motor,Inspeccionar correas,33,61,85,288.96
292,34,3,Cuchara y Brazo,Revisar dientes,22,44,61,253.72
293,34,4,Sistema Eléctrico,Inspeccionar conexiones,35,50,70,271.07
294,34,5,Sistema de Combustible,Cambiar cañerías,42,58,74,439.4
295,34,6,Neumáticos,Verificar presión,15,32,47,316.86
296,34,7,Filtros,Cambiar filtro de cabina,18,38,59,129.83
297,34,8,Cabina,Revisar asiento,16,26,52,234.03
298,34,9,Sistema Hidráulico,Cambiar aceite hidráulico,34,59,70,520.7
299,34,10,Carrocería,Revisar vidrios,38,60,75,298.74
300,34,11,Sistema de Lubricación,Cambiar aceite de motor,21,39,69,354.63
301,34,12,Sistema de Transmisión,Ajustar embrague,41,53,82,395.54
302,34,13,Sistema de Frenos,Ajustar frenos,32,54,73,198.69
303,34,14,Sistema de Dirección,Alinear dirección,20,44,71,124.25
304,34,15,Sistema de Escape,Cambiar empaques,35,57,72,258.36
305,35,1,Sistema de Frenos,Verificar líquido de frenos,43,57,76,535.14
306,35,2,Motor,Ajustar válvulas,29,42,63,83.87
307,35,3,Sistema de Dirección,Revisar bomba de dirección,21,37,47,143.3
308,35,4,Carrocería,Revisar vidrios,25,39,59,143.2
309,36,1,Filtros,Cambiar filtro de cabina,16,27,45,374.08
310,36,2,Sistema de Transmisión,Engrasar crucetas,30,48,66,361.94
311,36,3,Sistema de Dirección,Revisar terminales,21,36,51,461.87
312,36,4,Tren de Rodaje,Revisar tensión de cadena,18,33,47,129.58
313,36,5,Sistema de Escape,Inspeccionar DPF,40,67,91,321.43
314,37,1,Sistema de Refrigeración,Cambiar refrigerante,44,66,77,167.47
315,37,2,Neumáticos,Reparar pinchazo,27,54,69,441.42
316,37,3,Sistema de Dirección,Engrasar articulaciones,32,54,67,557.73
317,37,4,Cabina,Revisar asiento,28,46,75,579.23
318,37,5,Filtros,Cambiar filtro de cabina,45,66,84,93.31
319,37,6,Tren de Rodaje,Inspeccionar rodillos,36,65,80,512.79
320,37,7,Sistema de Lubricación,Verificar nivel de aceite,20,37,54,139.38
321,37,8,Sistema de Frenos,Revisar pastillas,21,48,78,273.63
322,38,1,Sistema de Frenos,Ajustar frenos,43,56,86,181.07
323,38,2,Filtros,Cambiar filtro de combustible,25,50,69,201.43
324,38,3,Sistema de Dirección,Verificar juego,45,71,89,287.6
325,38,4,Sistema de Refrigeración,Limpiar radiador,16,29,53,332.53
326,38,5,Motor,Ajustar válvulas,29,43,65,343.09
327,38,6,Sistema Hidráulico,Revisar mangueras,23,40,51,190.27
328,38,7,Cuchara y Brazo,Cambiar bocinas,41,62,91,248.13
329,38,8,Sistema de Escape,Revisar turbo,43,61,91,299.27
330,38,9,Sistema de Transmisión,Engrasar crucetas,36,66,87,528.89
331,38,10,Neumáticos,Rotar neumáticos,30,48,73,382.76
332,38,11,Tren de Rodaje,Inspeccionar rodillos,15,28,52,201.53
333,38,12,Sistema de Combustible,Cambiar cañerías,29,48,75,553.38
334,39,1,Sistema de Escape,Verificar silenciador,30,51,70,294.87
335,39,2,Sistema de Dirección,Engrasar articulaciones,23,37,53,409.63
336,39,3,Sistema Eléctrico,Revisar luces de trabajo,19,32,42,457.83
337,39,4,Sistema de Lubricación,Tomar muestra de aceite,40,61,89,284.33
338,39,5,Sistema de Combustible,Revisar inyectores,22,49,77,580.69
339,39,6,Sistema Hidráulico,Medir presiones de bomba,31,42,67,246.1
340,39,7,Sistema de Frenos,Revisar pastillas,28,46,59,112.43
341,39,8,Filtros,Limpiar pre-filtro,24,46,70,310.97
342,39,9,Sistema de Transmisión,Cambiar aceite de transmisión,44,61,72,327.15
343,39,10,Cabina,Revisar cinturón de seguridad,23,42,72,367.3
344,39,11,Cuchara y Brazo,Soldar refuerzos,42,59,88,477.8
345,39,12,Sistema de Refrigeración,Revisar bomba de agua,45,60,83,293.61
346,39,13,Neumáticos,Rotar neumáticos,32,52,80,190.53
347,39,14,Tren de Rodaje,Ajustar tensión,19,36,60,273.9
348,39,15,Carrocería,Lavar equipo completo,21,50,71,431.09
349,40,1,Sistema de Transmisión,Verificar cardanes,22,33,54,349.98
350,40,2,Motor,Ajustar válvulas,41,68,87,534.25
351,40,3,Sistema de Lubricación,Verificar nivel de aceite,37,62,87,365.03
352,40,4,Cabina,Verificar controles,39,57,68,475.33
353,41,1,Carrocería,Lavar equipo completo,22,40,53,124.12
354,41,2,Filtros,Cambiar filtro de aceite,15,33,47,481.02
355,41,3,Sistema de Frenos,Ajustar frenos,15,31,50,294.52
356,41,4,Sistema de Lubricación,Tomar muestra de aceite,41,61,72,457.37
357,41,5,Sistema de Transmisión,Verificar cardanes,31,49,62,360.08
358,42,1,Sistema de Combustible,Verificar bomba de combustible,42,54,73,337.67
359,42,2,Sistema de Escape,Revisar turbo,42,56,68,460.41
360,42,3,Sistema de Frenos,Verificar líquido de frenos,24,35,62,376.57
361,42,4,Sistema de Refrigeración,Revisar bomba de agua,21,45,65,422.31
362,42,5,Carrocería,Reparar abolladuras,45,60,76,418.08
363,42,6,Sistema de Dirección,Alinear dirección,21,51,75,476.3
364,42,7,Motor,Revisar nivel de refrigerante,28,56,72,537.73
365,42,8,Cuchara y Brazo,Verificar pasadores,26,53,83,436.49
366,43,1,Neumáticos,Reparar pinchazo,30,57,68,159.95
367,43,2,Cabina,Revisar asiento,17,27,53,524.75
368,43,3,Sistema de Refrigeración,Verificar termostato,24,36,64,430.57
369,43,4,Sistema de Lubricación,Engrasar puntos de lubricación,15,36,53,186.81
370,43,5,Sistema de Dirección,Alinear dirección,40,68,85,457.66
371,43,6,Sistema de Transmisión,Engrasar crucetas,35,47,59,167.7
372,43,7,Cuchara y Brazo,Revisar dientes,39,63,82,219.46
373,43,8,Motor,Revisar soportes de motor,33,54,74,231.83
374,43,9,Sistema de Frenos,Purgar sistema de frenos,21,42,54,115.98
375,43,10,Sistema de Escape,Revisar tubo de escape,15,33,49,448.59
376,43,11,Sistema Hidráulico,Revisar mangueras,28,54,77,545.31
377,43,12,Carrocería,Revisar vidrios,25,45,72,137.4
378,44,1,Carrocería,Pintar partes oxidadas,32,43,67,433.93
379,44,2,Neumáticos,Ajustar pernos de rueda,17,46,76,420.02
380,44,3,Sistema de Dirección,Verificar juego,42,56,79,471.39
381,44,4,Sistema Eléctrico,Verificar motor de arranque,23,37,50,127.84
382,44,5,Sistema de Lubricación,Engrasar puntos de lubricación,18,29,47,329.37
383,44,6,Sistema de Transmisión,Cambiar aceite de transmisión,35,50,79,353.13
384,44,7,Sistema de Combustible,Verificar bomba de combustible,39,67,78,363.52
385,44,8,Motor,Revisar soportes de motor,43,58,82,545.32
386,44,9,Sistema de Frenos,Verificar líquido de frenos,42,55,71,204.05
387,44,10,Sistema de Escape,Verificar silenciador,22,35,51,536.03
388,44,11,Tren de Rodaje,Verificar sprockets,39,64,78,154.98
389,44,12,Sistema Hidráulico,Medir presiones de bomba,22,41,56,340.7
390,44,13,Sistema de Refrigeración,Limpiar radiador,41,70,84,472.59
391,44,14,Cabina,Verificar tablero,24,37,51,196.66
392,44,15,Filtros,Cambiar filtro de cabina,43,62,82,296.06
393,45,1,Motor,Ajustar válvulas,38,58,68,376.09
