id,actividad_id,insumo_id,cantidad,unidad,especificaciones,costo_unitario,costo_total
70,78,65,2.14,Unidad,Requerido para Revisar mangueras,1.94,4.15
71,78,42,2.86,Unidad,Requerido para Revisar mangueras,14.16,40.50
72,79,22,3.86,Unidad,Requerido para Inspeccionar conexiones,33.32,128.62
73,81,42,3.98,Unidad,Requerido para Pintar partes oxidadas,14.16,56.36
74,83,48,4.14,Pliego,Requerido para Revisar bomba de agua,1.57,6.50
75,84,28,3.99,Unidad,Requerido para Limpiar filtros de aire acondicionado,1222.27,4876.86
76,91,62,3.30,Unidad,Requerido para Cambiar sellos de cilindro,99.38,327.95
77,91,67,1.65,Unidad,Requerido para Cambiar sellos de cilindro,3.52,5.81
78,92,4,4.26,Litro,Requerido para Lavar equipo completo,27.70,118.00
79,94,2,2.82,Litro,Requerido para Revisar turbo,17.88,50.42
80,94,14,4.02,Litro,Requerido para Revisar turbo,32.61,131.09
81,98,38,2.78,Unidad,Requerido para Engrasar articulaciones,0.47,1.31
82,98,78,1.20,Unidad,Requerido para Engrasar articulaciones,3.29,3.95
83,98,8,3.80,Unidad,Requerido para Engrasar articulaciones,41.64,158.23
84,105,44,4.49,Unidad,Requerido para Revisar nivel de refrigerante,88.15,395.79
85,105,11,4.20,Unidad,Requerido para Revisar nivel de refrigerante,146.31,614.50
86,107,61,4.43,Pliego,Requerido para Verificar nivel de aceite,1.73,7.66
87,107,77,4.53,Metro,Requerido para Verificar nivel de aceite,71.69,324.76
88,112,70,4.58,Unidad,Requerido para Cambiar filtro de combustible,48.52,222.22
89,112,29,2.31,Unidad,Requerido para Cambiar filtro de combustible,2414.37,5577.19
90,113,25,2.74,Unidad,Requerido para Inspección visual,269.56,738.59
91,113,19,2.17,Unidad,Requerido para Inspección visual,895.75,1943.78
92,113,47,1.83,Kg,Requerido para Inspección visual,9.44,17.28
93,114,68,3.90,Unidad,Requerido para Revisar discos,323.88,1263.13
94,116,47,1.48,Kg,Requerido para Inspeccionar DPF,9.44,13.97
95,116,43,1.25,Unidad,Requerido para Inspeccionar DPF,112.47,140.59
96,116,68,1.17,Unidad,Requerido para Inspeccionar DPF,323.88,378.94
97,117,55,1.87,Kg,Requerido para Ajustar tensión,10.52,19.67
98,117,25,4.55,Unidad,Requerido para Ajustar tensión,269.56,1226.50
99,119,51,4.08,Unidad,Requerido para Verificar cardanes,45.82,186.95
100,119,42,3.28,Unidad,Requerido para Verificar cardanes,14.16,46.44
101,119,41,1.58,Unidad,Requerido para Verificar cardanes,0.48,0.76
102,120,45,4.47,Unidad,Requerido para Engrasar articulaciones,58.60,261.94
103,120,37,4.45,Unidad,Requerido para Engrasar articulaciones,1.38,6.14
104,120,32,3.13,Rollo,Requerido para Engrasar articulaciones,12.22,38.25
105,122,20,1.84,Metro,Requerido para Inspeccionar desgaste,23.31,42.89
106,124,58,3.91,Unidad,Requerido para Cambiar filtro de aire,3.64,14.23
107,124,32,3.34,Rollo,Requerido para Cambiar filtro de aire,12.22,40.81
108,124,56,3.43,Unidad,Requerido para Cambiar filtro de aire,17.23,59.10
109,125,8,2.52,Unidad,Requerido para Inspeccionar correas,41.64,104.93
110,127,66,1.34,Litro,Requerido para Verificar controles,34.56,46.31
111,127,17,2.80,Unidad,Requerido para Verificar controles,3202.55,8967.14
112,129,20,1.30,Metro,Requerido para Verificar cardanes,23.31,30.30
113,129,54,1.33,Kg,Requerido para Verificar cardanes,13.04,17.34
114,129,28,4.84,Unidad,Requerido para Verificar cardanes,1222.27,5915.79
115,134,53,3.73,Unidad,Requerido para Revisar pastillas,1053.50,3929.56
116,137,15,2.95,Litro,Requerido para Cambiar bocinas,18.94,55.87
117,141,15,1.92,Litro,Requerido para Rotar neumáticos,18.94,36.36
118,141,17,2.95,Unidad,Requerido para Rotar neumáticos,3202.55,9447.52
119,141,35,1.70,Unidad,Requerido para Rotar neumáticos,2.72,4.62
120,143,36,4.88,Unidad,Requerido para Revisar vidrios,2.74,13.37
121,143,14,1.69,Litro,Requerido para Revisar vidrios,32.61,55.11
122,149,13,1.55,Litro,Requerido para Rotar neumáticos,21.90,33.95
123,149,35,2.07,Unidad,Requerido para Rotar neumáticos,2.72,5.63
124,152,59,3.57,Unidad,Requerido para Revisar asiento,0.59,2.11
125,153,21,3.33,Unidad,Requerido para Verificar cardanes,5.01,16.68
126,153,8,2.55,Unidad,Requerido para Verificar cardanes,41.64,106.18
127,156,18,1.37,Unidad,Requerido para Verificar cilindros,176.73,242.12
128,156,22,3.93,Unidad,Requerido para Verificar cilindros,33.32,130.95
129,156,15,2.99,Litro,Requerido para Verificar cilindros,18.94,56.63
130,157,17,3.67,Unidad,Requerido para Revisar dientes,3202.55,11753.36
131,158,64,1.72,Unidad,Requerido para Revisar terminales,56.35,96.92
132,160,66,4.89,Litro,Requerido para Verificar cilindros,34.56,169.00
133,160,30,1.22,Kg,Requerido para Verificar cilindros,7.86,9.59
134,160,80,2.88,Unidad,Requerido para Verificar cilindros,172.31,496.25
135,163,43,1.89,Unidad,Requerido para Revisar soportes de motor,112.47,212.57
136,164,56,2.33,Unidad,Requerido para Reparar abolladuras,17.23,40.15
137,165,30,4.83,Kg,Requerido para Verificar presión,7.86,37.96
138,168,72,1.50,Unidad,Requerido para Verificar termostato,5.86,8.79
139,171,7,3.89,Unidad,Requerido para Inspeccionar conexiones,40.85,158.91
140,177,75,2.29,Rollo,Requerido para Limpiar pre-filtro,15.57,35.66
141,177,12,2.44,Unidad,Requerido para Limpiar pre-filtro,96.61,235.73
142,178,77,4.38,Metro,Requerido para Revisar mangueras,71.69,314.00
143,178,57,4.36,Unidad,Requerido para Revisar mangueras,133.39,581.58
144,178,75,1.02,Rollo,Requerido para Revisar mangueras,15.57,15.88
145,182,70,1.47,Unidad,Requerido para Verificar motor de arranque,48.52,71.32
146,182,46,1.56,Litro,Requerido para Verificar motor de arranque,27.33,42.63
147,183,21,2.74,Unidad,Requerido para Revisar discos,5.01,13.73
148,183,64,4.32,Unidad,Requerido para Revisar discos,56.35,243.43
149,183,69,2.46,Litro,Requerido para Revisar discos,26.98,66.37
150,189,33,1.40,Spray,Requerido para Verificar cilindros,16.08,22.51
151,190,3,3.23,Litro,Requerido para Inspección visual,36.87,119.09
152,190,30,1.83,Kg,Requerido para Inspección visual,7.86,14.38
153,190,33,3.35,Spray,Requerido para Inspección visual,16.08,53.87
154,191,34,4.84,Spray,Requerido para Ajustar tensión,12.09,58.52
155,191,52,4.08,Unidad,Requerido para Ajustar tensión,218.84,892.87
156,191,17,2.57,Unidad,Requerido para Ajustar tensión,3202.55,8230.55
157,194,76,2.87,Unidad,Requerido para Cambiar aceite de transmisión,1.67,4.79
158,194,5,1.09,Kg,Requerido para Cambiar aceite de transmisión,13.83,15.07
159,195,18,2.36,Unidad,Requerido para Engrasar articulaciones,176.73,417.08
160,197,47,1.16,Kg,Requerido para Cambiar aceite hidráulico,9.44,10.95
161,197,25,1.67,Unidad,Requerido para Cambiar aceite hidráulico,269.56,450.17
162,200,4,2.41,Litro,Requerido para Reparar pinchazo,27.70,66.76
163,200,39,4.51,Kit,Requerido para Reparar pinchazo,47.51,214.27
164,200,73,2.03,Litro,Requerido para Reparar pinchazo,24.39,49.51
165,204,75,3.12,Rollo,Requerido para Cambiar filtro de aceite,15.57,48.58
166,204,29,4.92,Unidad,Requerido para Cambiar filtro de aceite,2414.37,11878.70
167,205,65,2.84,Unidad,Requerido para Inspeccionar correas,1.94,5.51
168,205,16,2.07,Unidad,Requerido para Inspeccionar correas,4290.92,8882.20
169,205,58,4.44,Unidad,Requerido para Inspeccionar correas,3.64,16.16
170,206,26,1.43,Metro,Requerido para Inspeccionar rodillos,70.24,100.44
171,206,25,1.30,Unidad,Requerido para Inspeccionar rodillos,269.56,350.43
172,208,13,4.02,Litro,Requerido para Verificar juego,21.90,88.04
173,208,55,4.64,Kg,Requerido para Verificar juego,10.52,48.81
174,210,50,4.35,Kg,Requerido para Verificar termostato,18.78,81.69
175,210,60,3.44,Unidad,Requerido para Verificar termostato,3.00,10.32
176,210,76,4.89,Unidad,Requerido para Verificar termostato,1.67,8.17
177,212,57,2.99,Unidad,Requerido para Revisar mangueras,133.39,398.84
178,213,60,4.27,Unidad,Requerido para Cambiar aceite de transmisión,3.00,12.81
179,213,38,1.59,Unidad,Requerido para Cambiar aceite de transmisión,0.47,0.75
180,213,57,1.67,Unidad,Requerido para Cambiar aceite de transmisión,133.39,222.76
181,216,3,4.98,Litro,Requerido para Soldar refuerzos,36.87,183.61
182,216,20,4.45,Metro,Requerido para Soldar refuerzos,23.31,103.73
183,224,66,1.74,Litro,Requerido para Ajustar válvulas,34.56,60.13
184,224,19,2.16,Unidad,Requerido para Ajustar válvulas,895.75,1934.82
185,227,74,1.34,Unidad,Requerido para Ajustar tensión,217.94,292.04
186,227,66,1.86,Litro,Requerido para Ajustar tensión,34.56,64.28
187,227,30,4.72,Kg,Requerido para Ajustar tensión,7.86,37.10
188,231,4,3.42,Litro,Requerido para Verificar alternador,27.70,94.73
189,231,60,1.28,Unidad,Requerido para Verificar alternador,3.00,3.84
190,231,26,4.21,Metro,Requerido para Verificar alternador,70.24,295.71
191,235,61,4.87,Pliego,Requerido para Verificar cardanes,1.73,8.43
192,238,80,1.01,Unidad,Requerido para Revisar turbo,172.31,174.03
193,238,41,4.40,Unidad,Requerido para Revisar turbo,0.48,2.11
194,242,40,3.26,Unidad,Requerido para Pintar partes oxidadas,23.36,76.15
195,242,41,2.51,Unidad,Requerido para Pintar partes oxidadas,0.48,1.20
196,242,32,4.92,Rollo,Requerido para Pintar partes oxidadas,12.22,60.12
197,243,7,3.16,Unidad,Requerido para Cambiar bocinas,40.85,129.09
198,243,52,1.18,Unidad,Requerido para Cambiar bocinas,218.84,258.23
199,243,12,1.85,Unidad,Requerido para Cambiar bocinas,96.61,178.73
200,244,78,3.50,Unidad,Requerido para Medir presiones de bomba,3.29,11.52
201,244,69,3.92,Litro,Requerido para Medir presiones de bomba,26.98,105.76
202,245,76,2.38,Unidad,Requerido para Revisar batería,1.67,3.97
203,248,70,2.72,Unidad,Requerido para Revisar asiento,48.52,131.97
204,253,42,3.67,Unidad,Requerido para Cambiar sellos de cilindro,14.16,51.97
205,253,7,4.85,Unidad,Requerido para Cambiar sellos de cilindro,40.85,198.12
206,253,48,2.04,Pliego,Requerido para Cambiar sellos de cilindro,1.57,3.20
207,255,52,4.13,Unidad,Requerido para Ajustar tensión,218.84,903.81
208,255,45,4.77,Unidad,Requerido para Ajustar tensión,58.60,279.52
209,255,13,3.01,Litro,Requerido para Ajustar tensión,21.90,65.92
210,263,77,3.66,Metro,Requerido para Verificar nivel de aceite,71.69,262.39
211,268,64,3.75,Unidad,Requerido para Engrasar puntos de lubricación,56.35,211.31
212,268,38,4.36,Unidad,Requerido para Engrasar puntos de lubricación,0.47,2.05
213,273,43,1.83,Unidad,Requerido para Engrasar crucetas,112.47,205.82
214,273,79,4.81,Unidad,Requerido para Engrasar crucetas,0.54,2.60
215,273,3,3.16,Litro,Requerido para Engrasar crucetas,36.87,116.51
216,276,76,2.69,Unidad,Requerido para Inspeccionar rodillos,1.67,4.49
217,276,77,3.79,Metro,Requerido para Inspeccionar rodillos,71.69,271.71
218,279,50,4.69,Kg,Requerido para Soldar refuerzos,18.78,88.08
219,279,11,4.59,Unidad,Requerido para Soldar refuerzos,146.31,671.56
220,281,32,3.09,Rollo,Requerido para Inspeccionar DPF,12.22,37.76
221,283,35,3.31,Unidad,Requerido para Reparar abolladuras,2.72,9.00
222,283,74,2.14,Unidad,Requerido para Reparar abolladuras,217.94,466.39
223,283,10,2.52,Unidad,Requerido para Reparar abolladuras,79.32,199.89
224,285,79,5.00,Unidad,Requerido para Ajustar embrague,0.54,2.70
225,287,50,1.76,Kg,Requerido para Medir desgaste de zapatas,18.78,33.05
226,287,72,4.40,Unidad,Requerido para Medir desgaste de zapatas,5.86,25.78
227,287,53,3.06,Unidad,Requerido para Medir desgaste de zapatas,1053.50,3223.71
228,293,47,1.13,Kg,Requerido para Inspeccionar conexiones,9.44,10.67
229,296,21,1.57,Unidad,Requerido para Cambiar filtro de cabina,5.01,7.87
230,298,51,2.10,Unidad,Requerido para Cambiar aceite hidráulico,45.82,96.22
231,299,65,1.16,Unidad,Requerido para Revisar vidrios,1.94,2.25
232,299,20,1.46,Metro,Requerido para Revisar vidrios,23.31,34.03
233,299,53,1.51,Unidad,Requerido para Revisar vidrios,1053.50,1590.79
234,301,38,1.38,Unidad,Requerido para Ajustar embrague,0.47,0.65
235,303,78,2.96,Unidad,Requerido para Alinear dirección,3.29,9.74
236,303,39,1.10,Kit,Requerido para Alinear dirección,47.51,52.26
237,309,1,4.30,Litro,Requerido para Cambiar filtro de cabina,26.81,115.28
238,309,68,2.55,Unidad,Requerido para Cambiar filtro de cabina,323.88,825.89
239,309,51,2.16,Unidad,Requerido para Cambiar filtro de cabina,45.82,98.97
240,312,30,4.59,Kg,Requerido para Revisar tensión de cadena,7.86,36.08
241,312,39,4.61,Kit,Requerido para Revisar tensión de cadena,47.51,219.02
242,316,77,4.01,Metro,Requerido para Engrasar articulaciones,71.69,287.48
243,316,5,4.17,Kg,Requerido para Engrasar articulaciones,13.83,57.67
244,317,47,1.67,Kg,Requerido para Revisar asiento,9.44,15.76
245,319,71,4.88,Unidad,Requerido para Inspeccionar rodillos,100.49,490.39
246,319,80,3.32,Unidad,Requerido para Inspeccionar rodillos,172.31,572.07
247,323,10,1.65,Unidad,Requerido para Cambiar filtro de combustible,79.32,130.88
248,326,54,2.31,Kg,Requerido para Ajustar válvulas,13.04,30.12
249,331,15,2.94,Litro,Requerido para Rotar neumáticos,18.94,55.68
250,332,41,1.44,Unidad,Requerido para Inspeccionar rodillos,0.48,0.69
251,332,5,3.11,Kg,Requerido para Inspeccionar rodillos,13.83,43.01
252,335,19,1.99,Unidad,Requerido para Engrasar articulaciones,895.75,1782.54
253,335,35,4.72,Unidad,Requerido para Engrasar articulaciones,2.72,12.84
254,336,1,2.62,Litro,Requerido para Revisar luces de trabajo,26.81,70.24
255,339,62,4.42,Unidad,Requerido para Medir presiones de bomba,99.38,439.26
256,340,2,1.48,Litro,Requerido para Revisar pastillas,17.88,26.46
257,340,57,1.31,Unidad,Requerido para Revisar pastillas,133.39,174.74
258,340,60,2.41,Unidad,Requerido para Revisar pastillas,3.00,7.23
259,342,35,3.10,Unidad,Requerido para Cambiar aceite de transmisión,2.72,8.43
260,342,69,1.48,Litro,Requerido para Cambiar aceite de transmisión,26.98,39.93
261,342,34,3.42,Spray,Requerido para Cambiar aceite de transmisión,12.09,41.35
262,343,41,1.54,Unidad,Requerido para Revisar cinturón de seguridad,0.48,0.74
263,343,7,4.01,Unidad,Requerido para Revisar cinturón de seguridad,40.85,163.81
264,343,65,1.91,Unidad,Requerido para Revisar cinturón de seguridad,1.94,3.71
265,344,36,2.44,Unidad,Requerido para Soldar refuerzos,2.74,6.69
266,344,2,4.37,Litro,Requerido para Soldar refuerzos,17.88,78.14
267,352,75,4.67,Rollo,Requerido para Verificar controles,15.57,72.71
268,352,38,4.42,Unidad,Requerido para Verificar controles,0.47,2.08
269,352,14,3.36,Litro,Requerido para Verificar controles,32.61,109.57
270,357,38,3.83,Unidad,Requerido para Verificar cardanes,0.47,1.80
271,357,1,1.72,Litro,Requerido para Verificar cardanes,26.81,46.11
272,357,51,2.49,Unidad,Requerido para Verificar cardanes,45.82,114.09
273,361,4,1.12,Litro,Requerido para Revisar bomba de agua,27.70,31.02
274,362,57,4.73,Unidad,Requerido para Reparar abolladuras,133.39,630.93
275,365,40,4.16,Unidad,Requerido para Verificar pasadores,23.36,97.18
276,371,45,4.57,Unidad,Requerido para Engrasar crucetas,58.60,267.80
277,376,4,4.23,Litro,Requerido para Revisar mangueras,27.70,117.17
278,376,46,2.05,Litro,Requerido para Revisar mangueras,27.33,56.03
279,376,71,2.30,Unidad,Requerido para Revisar mangueras,100.49,231.13
280,380,50,3.93,Kg,Requerido para Verificar juego,18.78,73.81
281,380,60,4.51,Unidad,Requerido para Verificar juego,3.00,13.53
282,380,36,1.14,Unidad,Requerido para Verificar juego,2.74,3.12
283,382,38,2.53,Unidad,Requerido para Engrasar puntos de lubricación,0.47,1.19
284,382,28,3.19,Unidad,Requerido para Engrasar puntos de lubricación,1222.27,3899.04
285,383,31,2.01,Unidad,Requerido para Cambiar aceite de transmisión,25.38,51.01
286,383,63,1.16,Unidad,Requerido para Cambiar aceite de transmisión,6.08,7.05
287,386,69,2.06,Litro,Requerido para Verificar líquido de frenos,26.98,55.58
288,386,78,1.58,Unidad,Requerido para Verificar líquido de frenos,3.29,5.20
289,388,18,3.21,Unidad,Requerido para Verificar sprockets,176.73,567.30
290,388,48,4.79,Pliego,Requerido para Verificar sprockets,1.57,7.52
291,390,44,2.01,Unidad,Requerido para Limpiar radiador,88.15,177.18
292,393,11,1.93,Unidad,Requerido para Ajustar válvulas,146.31,282.38
293,399,40,1.73,Unidad,Requerido para Reparar abolladuras,23.36,40.41
294,403,12,4.03,Unidad,Requerido para Reparar abolladuras,96.61,389.34
295,403,34,1.32,Spray,Requerido para Reparar abolladuras,12.09,15.96
296,403,28,2.37,Unidad,Requerido para Reparar abolladuras,1222.27,2896.78
297,411,62,2.56,Unidad,Requerido para Revisar tubo de escape,99.38,254.41
298,411,28,1.47,Unidad,Requerido para Revisar tubo de escape,1222.27,1796.74
299,411,5,3.21,Kg,Requerido para Revisar tubo de escape,13.83,44.39
300,412,70,2.78,Unidad,Requerido para Revisar inyectores,48.52,134.89
301,412,20,3.91,Metro,Requerido para Revisar inyectores,23.31,91.14
302,414,39,1.18,Kit,Requerido para Inspección visual,47.51,56.06
303,414,23,3.28,Unidad,Requerido para Inspección visual,76.86,252.10
304,416,54,2.87,Kg,Requerido para Cambiar refrigerante,13.04,37.42
305,418,20,2.71,Metro,Requerido para Cambiar aceite de motor,23.31,63.17
306,419,13,1.55,Litro,Requerido para Revisar dientes,21.90,33.95
307,421,36,4.57,Unidad,Requerido para Alinear dirección,2.74,12.52
308,421,32,2.92,Rollo,Requerido para Alinear dirección,12.22,35.68
309,423,4,4.00,Litro,Requerido para Cambiar filtro de cabina,27.70,110.80
310,423,54,1.52,Kg,Requerido para Cambiar filtro de cabina,13.04,19.82
311,423,36,2.25,Unidad,Requerido para Cambiar filtro de cabina,2.74,6.17
312,427,57,1.71,Unidad,Requerido para Ajustar pernos de rueda,133.39,228.10
313,427,17,3.30,Unidad,Requerido para Ajustar pernos de rueda,3202.55,10568.42
314,429,19,4.32,Unidad,Requerido para Alinear dirección,895.75,3869.64
315,432,13,2.93,Litro,Requerido para Purgar sistema de frenos,21.90,64.17
316,432,39,2.79,Kit,Requerido para Purgar sistema de frenos,47.51,132.55
317,432,64,4.45,Unidad,Requerido para Purgar sistema de frenos,56.35,250.76
318,436,44,4.04,Unidad,Requerido para Cambiar refrigerante,88.15,356.13
319,436,11,4.18,Unidad,Requerido para Cambiar refrigerante,146.31,611.58
320,436,20,3.94,Metro,Requerido para Cambiar refrigerante,23.31,91.84
321,438,17,2.09,Unidad,Requerido para Revisar inyectores,3202.55,6693.33
322,445,76,2.22,Unidad,Requerido para Inspeccionar conexiones,1.67,3.71
323,445,62,4.26,Unidad,Requerido para Inspeccionar conexiones,99.38,423.36
324,446,78,2.34,Unidad,Requerido para Verificar nivel de aceite,3.29,7.70
325,449,22,1.44,Unidad,Requerido para Engrasar crucetas,33.32,47.98
326,449,24,4.25,Unidad,Requerido para Engrasar crucetas,42.98,182.67
327,452,16,1.42,Unidad,Requerido para Cambiar filtro de cabina,4290.92,6093.11
328,453,43,1.15,Unidad,Requerido para Revisar batería,112.47,129.34
329,453,13,4.92,Litro,Requerido para Revisar batería,21.90,107.75
330,454,43,2.92,Unidad,Requerido para Ajustar embrague,112.47,328.41
331,454,61,3.27,Pliego,Requerido para Ajustar embrague,1.73,5.66
332,454,69,2.18,Litro,Requerido para Ajustar embrague,26.98,58.82
333,455,2,3.05,Litro,Requerido para Revisar vidrios,17.88,54.53
334,455,36,2.28,Unidad,Requerido para Revisar vidrios,2.74,6.25
335,462,51,1.47,Unidad,Requerido para Medir desgaste de zapatas,45.82,67.36
336,469,79,3.69,Unidad,Requerido para Cambiar refrigerante,0.54,1.99
337,476,15,4.36,Litro,Requerido para Inspeccionar conexiones,18.94,82.58
338,477,66,3.18,Litro,Requerido para Verificar controles,34.56,109.90
339,477,39,3.77,Kit,Requerido para Verificar controles,47.51,179.11
340,477,3,1.73,Litro,Requerido para Verificar controles,36.87,63.79
341,481,34,1.31,Spray,Requerido para Limpiar pre-filtro,12.09,15.84
342,481,72,4.91,Unidad,Requerido para Limpiar pre-filtro,5.86,28.77
343,481,61,3.23,Pliego,Requerido para Limpiar pre-filtro,1.73,5.59
344,482,66,3.16,Litro,Requerido para Medir desgaste de zapatas,34.56,109.21
345,482,40,2.28,Unidad,Requerido para Medir desgaste de zapatas,23.36,53.26
346,483,40,3.47,Unidad,Requerido para Revisar cinturón de seguridad,23.36,81.06
347,483,30,4.86,Kg,Requerido para Revisar cinturón de seguridad,7.86,38.20
348,483,63,4.22,Unidad,Requerido para Revisar cinturón de seguridad,6.08,25.66
349,484,38,3.57,Unidad,Requerido para Revisar luces de trabajo,0.47,1.68
350,491,66,3.44,Litro,Requerido para Limpiar radiador,34.56,118.89
351,491,10,1.05,Unidad,Requerido para Limpiar radiador,79.32,83.29
352,491,12,3.77,Unidad,Requerido para Limpiar radiador,96.61,364.22
353,493,54,3.38,Kg,Requerido para Inspeccionar conexiones,13.04,44.08
354,500,20,1.08,Metro,Requerido para Revisar pastillas,23.31,25.17
355,500,55,3.42,Kg,Requerido para Revisar pastillas,10.52,35.98
356,501,27,1.07,Unidad,Requerido para Drenar tanque,35.91,38.42
357,501,18,1.53,Unidad,Requerido para Drenar tanque,176.73,270.40
358,501,70,4.74,Unidad,Requerido para Drenar tanque,48.52,229.98
359,502,63,2.32,Unidad,Requerido para Verificar tablero,6.08,14.11
360,502,32,1.61,Rollo,Requerido para Verificar tablero,12.22,19.67
361,503,29,3.05,Unidad,Requerido para Medir presiones de bomba,2414.37,7363.83
362,503,55,3.05,Kg,Requerido para Medir presiones de bomba,10.52,32.09
363,508,41,4.40,Unidad,Requerido para Verificar sprockets,0.48,2.11
