id,plan_id,numero_orden,descripcion_componente,actividad,tiempo_min,tiempo_promedio,tiempo_max,costo_estimado,fecha_registro,fecha_actualizacion
15,3,2,Cuchara y Brazo,Engrasar articulaciones,39,55,83,153.53,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
16,3,3,Sistema de Transmisión,Cambiar aceite de transmisión,45,58,68,462.14,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
17,3,4,Sistema de Lubricación,Engrasar puntos de lubricación,23,43,69,255.16,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
18,3,5,Tren de Rodaje,Revisar tensión de cadena,20,31,42,354.68,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
19,3,6,Sistema de Frenos,Purgar sistema de frenos,24,52,68,405.42,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
20,3,7,Sistema de Dirección,Verificar juego,25,51,65,309.07,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
21,3,8,Sistema de Refrigeración,Revisar mangueras,28,47,75,159.93,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
22,3,9,Sistema de Escape,Inspeccionar DPF,16,38,63,315.93,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
23,3,10,Motor,Verificar funcionamiento de motor,21,43,57,257.17,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
24,3,11,Carrocería,Reparar abolladuras,27,47,71,359.40,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
25,3,12,Sistema Hidráulico,Revisar mangueras,25,49,62,422.89,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
26,4,1,Sistema de Refrigeración,Verificar termostato,44,74,86,566.75,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
27,4,2,Cabina,Verificar controles,17,41,61,288.65,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
28,4,3,Sistema Hidráulico,Verificar cilindros,18,37,52,139.89,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
29,4,4,Sistema de Frenos,Revisar discos,43,57,68,309.82,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
30,4,5,Sistema de Escape,Cambiar empaques,30,52,68,232.30,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
31,4,6,Sistema de Lubricación,Cambiar aceite de motor,40,51,73,292.15,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
32,4,7,Cuchara y Brazo,Cambiar bocinas,44,60,78,489.16,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
33,4,8,Filtros,Cambiar filtro de combustible,40,65,89,273.66,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
34,4,9,Sistema de Combustible,Verificar bomba de combustible,15,38,48,198.75,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
35,4,10,Sistema Eléctrico,Inspeccionar conexiones,23,35,50,373.73,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
36,4,11,Sistema de Dirección,Alinear dirección,19,49,75,190.09,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
37,4,12,Neumáticos,Inspeccionar desgaste,30,52,74,126.72,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
38,4,13,Sistema de Transmisión,Verificar cardanes,35,46,70,152.29,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
39,4,14,Carrocería,Revisar vidrios,19,36,48,128.58,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
40,4,15,Motor,Verificar funcionamiento de motor,17,40,63,409.62,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
41,5,1,Filtros,Limpiar pre-filtro,37,47,75,362.29,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
42,5,2,Sistema Eléctrico,Revisar batería,33,60,84,130.29,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
43,5,3,Sistema de Escape,Inspeccionar DPF,41,65,78,275.25,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
44,5,4,Tren de Rodaje,Inspeccionar rodillos,21,37,56,598.48,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
45,6,1,Tren de Rodaje,Inspeccionar rodillos,41,55,65,162.29,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
46,6,2,Sistema de Refrigeración,Revisar mangueras,22,39,52,550.80,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
47,6,3,Sistema de Frenos,Revisar discos,35,57,71,203.00,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
48,6,4,Neumáticos,Reparar pinchazo,25,38,56,557.57,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
49,6,5,Sistema Hidráulico,Cambiar aceite hidráulico,28,46,76,534.59,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
50,7,1,Cabina,Verificar tablero,25,37,53,430.05,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
51,7,2,Sistema de Refrigeración,Limpiar radiador,17,45,59,356.18,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
52,7,3,Sistema de Combustible,Verificar bomba de combustible,23,42,69,134.21,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
53,7,4,Neumáticos,Verificar presión,39,68,78,598.45,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
54,7,5,Sistema de Frenos,Purgar sistema de frenos,31,53,80,557.91,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
55,7,6,Sistema de Transmisión,Cambiar aceite de transmisión,37,48,60,114.77,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
56,7,7,Motor,Ajustar válvulas,28,56,76,122.26,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
57,7,8,Sistema Eléctrico,Verificar motor de arranque,17,30,57,475.95,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
58,8,1,Cuchara y Brazo,Revisar dientes,22,39,68,334.33,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
59,8,2,Sistema de Dirección,Revisar bomba de dirección,30,52,68,150.52,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
60,8,3,Cabina,Limpiar filtros de aire acondicionado,36,59,75,160.85,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
61,8,4,Sistema de Frenos,Revisar pastillas,27,54,73,506.39,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
62,8,5,Sistema Hidráulico,Revisar mangueras,34,48,75,315.85,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
63,8,6,Motor,Inspeccionar correas,18,32,42,366.35,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
64,8,7,Sistema de Transmisión,Ajustar embrague,34,55,76,177.31,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
65,8,8,Neumáticos,Inspeccionar desgaste,29,47,57,200.83,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
66,8,9,Sistema de Lubricación,Cambiar aceite de motor,32,53,65,550.33,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
67,8,10,Sistema de Combustible,Limpiar trampa de agua,32,56,81,177.29,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
68,8,11,Sistema de Escape,Revisar turbo,35,61,88,200.35,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
69,8,12,Sistema de Refrigeración,Revisar mangueras,24,53,69,450.72,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
70,9,1,Sistema de Combustible,Cambiar cañerías,41,57,75,295.33,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
71,9,2,Cuchara y Brazo,Cambiar bocinas,18,45,59,170.84,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
72,9,3,Tren de Rodaje,Inspeccionar rodillos,35,53,63,156.12,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
73,9,4,Neumáticos,Inspeccionar desgaste,41,64,87,516.43,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
74,9,5,Sistema de Escape,Inspeccionar DPF,38,52,79,386.65,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
75,9,6,Sistema de Lubricación,Cambiar aceite de motor,25,37,51,531.74,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
76,9,7,Motor,Revisar nivel de refrigerante,28,47,76,319.99,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
77,9,8,Sistema de Transmisión,Verificar cardanes,45,74,100,173.31,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
78,9,9,Sistema Hidráulico,Revisar mangueras,29,41,61,279.12,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
79,9,10,Sistema Eléctrico,Inspeccionar conexiones,19,40,61,385.89,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
80,9,11,Filtros,Cambiar filtro de combustible,40,65,76,514.60,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
81,9,12,Carrocería,Pintar partes oxidadas,38,62,72,314.22,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
82,9,13,Sistema de Dirección,Revisar bomba de dirección,40,69,98,368.44,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
83,9,14,Sistema de Refrigeración,Revisar bomba de agua,21,41,51,376.83,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
84,9,15,Cabina,Limpiar filtros de aire acondicionado,41,52,68,232.91,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
85,10,1,Sistema de Transmisión,Cambiar aceite de transmisión,15,34,44,294.06,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
86,10,2,Neumáticos,Rotar neumáticos,37,54,79,186.03,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
87,10,3,Sistema de Frenos,Verificar líquido de frenos,20,44,73,539.23,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
88,10,4,Cabina,Verificar controles,37,59,85,203.25,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
89,11,1,Sistema de Refrigeración,Revisar bomba de agua,34,61,75,286.07,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
90,11,2,Sistema de Escape,Inspeccionar DPF,31,51,81,215.67,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
91,11,3,Sistema Hidráulico,Cambiar sellos de cilindro,37,54,76,179.29,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
92,11,4,Carrocería,Lavar equipo completo,22,32,54,123.81,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
93,11,5,Cuchara y Brazo,Soldar refuerzos,36,60,77,169.58,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
94,12,1,Sistema de Escape,Revisar turbo,24,44,64,512.74,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
95,12,2,Filtros,Cambiar filtro de combustible,26,48,66,152.43,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
96,12,3,Sistema de Dirección,Engrasar articulaciones,35,50,65,156.85,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
97,12,4,Sistema Hidráulico,Revisar mangueras,20,45,63,431.65,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
98,12,5,Cuchara y Brazo,Engrasar articulaciones,34,54,75,327.43,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
99,12,6,Sistema de Refrigeración,Cambiar refrigerante,17,36,51,273.03,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
100,12,7,Sistema de Lubricación,Verificar nivel de aceite,42,72,85,526.94,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
101,12,8,Cabina,Limpiar filtros de aire acondicionado,18,39,58,273.70,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
102,13,1,Sistema de Refrigeración,Revisar mangueras,21,48,62,272.95,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
103,13,2,Cuchara y Brazo,Cambiar bocinas,42,55,68,244.44,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
104,13,3,Sistema Eléctrico,Revisar batería,33,43,53,446.71,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
105,13,4,Motor,Revisar nivel de refrigerante,31,57,71,121.51,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
106,13,5,Sistema de Dirección,Alinear dirección,20,50,62,538.35,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
107,13,6,Sistema de Lubricación,Verificar nivel de aceite,16,45,59,149.79,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
108,13,7,Sistema Hidráulico,Verificar cilindros,27,37,55,554.99,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
109,13,8,Sistema de Combustible,Limpiar trampa de agua,37,65,91,316.13,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
110,13,9,Sistema de Transmisión,Ajustar embrague,19,42,60,265.79,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
111,13,10,Sistema de Escape,Inspeccionar DPF,40,58,72,503.14,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
112,13,11,Filtros,Cambiar filtro de combustible,34,59,82,234.34,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
113,13,12,Carrocería,Inspección visual,18,34,49,484.14,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
114,14,1,Sistema de Frenos,Revisar discos,31,58,78,458.18,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
115,14,2,Sistema de Lubricación,Engrasar puntos de lubricación,34,44,74,268.33,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
116,14,3,Sistema de Escape,Inspeccionar DPF,29,43,58,197.99,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
117,14,4,Tren de Rodaje,Ajustar tensión,25,36,59,518.09,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
118,14,5,Sistema de Refrigeración,Revisar bomba de agua,40,56,71,167.94,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
119,14,6,Sistema de Transmisión,Verificar cardanes,35,54,66,130.44,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
120,14,7,Cuchara y Brazo,Engrasar articulaciones,45,70,89,404.65,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
121,14,8,Sistema de Dirección,Revisar terminales,16,32,56,375.13,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
122,14,9,Neumáticos,Inspeccionar desgaste,32,57,77,593.19,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
123,14,10,Sistema Eléctrico,Revisar luces de trabajo,20,41,57,473.31,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
124,14,11,Filtros,Cambiar filtro de aire,32,51,74,103.18,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
125,14,12,Motor,Inspeccionar correas,32,54,65,252.42,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
126,14,13,Sistema Hidráulico,Revisar mangueras,32,53,70,287.36,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
127,14,14,Cabina,Verificar controles,44,58,82,487.89,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
128,14,15,Sistema de Combustible,Cambiar cañerías,36,62,77,272.33,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
129,15,1,Sistema de Transmisión,Verificar cardanes,19,39,62,291.89,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
130,15,2,Sistema de Lubricación,Verificar nivel de aceite,40,52,74,576.19,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
131,15,3,Sistema de Dirección,Revisar terminales,40,60,77,426.94,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
132,15,4,Motor,Revisar nivel de refrigerante,33,59,75,539.91,Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time),Wed Dec 03 2025 12:03:21 GMT-0400 (Bolivia Time)
