id,mantenimiento_id,actividad_id,descripcion,tiempo_real,completada,observaciones
78,10,65,Inspeccionar desgaste,33,1,Tarea finalizada correctamente.
79,10,68,Revisar turbo,70,1,Tarea finalizada correctamente.
80,10,61,Revisar pastillas,32,1,Tarea finalizada correctamente.
81,11,73,Inspeccionar desgaste,79,1,Tarea finalizada correctamente.
82,11,72,Inspeccionar rodillos,35,1,Tarea finalizada correctamente.
83,11,70,Cambiar cañerías,66,1,Tarea finalizada correctamente.
84,11,77,Verificar cardanes,61,1,Tarea finalizada correctamente.
85,11,81,Pintar partes oxidadas,71,1,Tarea finalizada correctamente.
86,11,74,Inspeccionar DPF,42,1,Tarea finalizada correctamente.
87,11,84,Limpiar filtros de aire acondicionado,46,1,Tarea finalizada correctamente.
88,11,75,Cambiar aceite de motor,33,1,Tarea finalizada correctamente.
89,11,82,Revisar bomba de dirección,93,1,Tarea finalizada correctamente.
90,11,80,Cambiar filtro de combustible,66,1,Tarea finalizada correctamente.
91,11,78,Revisar mangueras,43,1,Tarea finalizada correctamente.
92,11,71,Cambiar bocinas,43,1,Tarea finalizada correctamente.
93,11,79,Inspeccionar conexiones,58,1,Tarea finalizada correctamente.
94,12,85,Cambiar aceite de transmisión,30,1,Tarea finalizada correctamente.
95,12,88,Verificar controles,45,1,Tarea finalizada correctamente.
96,12,87,Verificar líquido de frenos,51,1,Tarea finalizada correctamente.
97,13,65,Inspeccionar desgaste,52,1,Tarea finalizada correctamente.
98,13,58,Revisar dientes,22,1,Tarea finalizada correctamente.
99,13,59,Revisar bomba de dirección,68,1,Tarea finalizada correctamente.
100,13,64,Ajustar embrague,45,1,Tarea finalizada correctamente.
101,13,62,Revisar mangueras,41,1,Tarea finalizada correctamente.
102,13,60,Limpiar filtros de aire acondicionado,37,1,Tarea finalizada correctamente.
103,13,61,Revisar pastillas,70,1,Tarea finalizada correctamente.
104,13,63,Inspeccionar correas,22,1,Tarea finalizada correctamente.
105,13,69,Revisar mangueras,63,1,Tarea finalizada correctamente.
106,13,67,Limpiar trampa de agua,63,1,Tarea finalizada correctamente.
107,14,85,Cambiar aceite de transmisión,43,1,Tarea finalizada correctamente.
108,14,86,Rotar neumáticos,74,1,Tarea finalizada correctamente.
109,14,87,Verificar líquido de frenos,50,1,Tarea finalizada correctamente.
110,15,60,Limpiar filtros de aire acondicionado,63,1,Tarea finalizada correctamente.
111,15,67,Limpiar trampa de agua,53,1,Tarea finalizada correctamente.
112,15,65,Inspeccionar desgaste,32,1,Tarea finalizada correctamente.
113,15,59,Revisar bomba de dirección,61,1,Tarea finalizada correctamente.
114,15,61,Revisar pastillas,34,1,Tarea finalizada correctamente.
115,15,66,Cambiar aceite de motor,62,1,Tarea finalizada correctamente.
116,15,64,Ajustar embrague,75,1,Tarea finalizada correctamente.
117,15,63,Inspeccionar correas,41,1,Tarea finalizada correctamente.
118,15,58,Revisar dientes,62,1,Tarea finalizada correctamente.
119,15,62,Revisar mangueras,44,1,Tarea finalizada correctamente.
120,16,77,Verificar cardanes,58,1,Tarea finalizada correctamente.
121,16,81,Pintar partes oxidadas,70,1,Tarea finalizada correctamente.
122,16,70,Cambiar cañerías,47,1,Tarea finalizada correctamente.
123,16,71,Cambiar bocinas,29,1,Tarea finalizada correctamente.
124,16,79,Inspeccionar conexiones,45,1,Tarea finalizada correctamente.
125,16,78,Revisar mangueras,50,1,Tarea finalizada correctamente.
126,16,74,Inspeccionar DPF,71,1,Tarea finalizada correctamente.
127,16,72,Inspeccionar rodillos,60,1,Tarea finalizada correctamente.
128,16,80,Cambiar filtro de combustible,73,1,Tarea finalizada correctamente.
129,16,76,Revisar nivel de refrigerante,65,1,Tarea finalizada correctamente.
130,16,82,Revisar bomba de dirección,64,1,Tarea finalizada correctamente.
131,16,83,Revisar bomba de agua,31,1,Tarea finalizada correctamente.
132,16,75,Cambiar aceite de motor,46,1,Tarea finalizada correctamente.
133,17,61,Revisar pastillas,55,1,Tarea finalizada correctamente.
134,17,65,Inspeccionar desgaste,45,1,Tarea finalizada correctamente.
135,17,67,Limpiar trampa de agua,43,1,Tarea finalizada correctamente.
136,17,66,Cambiar aceite de motor,52,1,Tarea finalizada correctamente.
137,17,63,Inspeccionar correas,39,1,Tarea finalizada correctamente.
138,17,64,Ajustar embrague,70,1,Tarea finalizada correctamente.
139,17,68,Revisar turbo,64,1,Tarea finalizada correctamente.
140,17,69,Revisar mangueras,54,1,Tarea finalizada correctamente.
141,17,62,Revisar mangueras,63,1,Tarea finalizada correctamente.
142,17,58,Revisar dientes,60,1,Tarea finalizada correctamente.
143,18,68,Revisar turbo,59,1,Tarea finalizada correctamente.
144,18,61,Revisar pastillas,71,1,Tarea finalizada correctamente.
145,18,67,Limpiar trampa de agua,65,1,Tarea finalizada correctamente.
146,18,59,Revisar bomba de dirección,67,1,Tarea finalizada correctamente.
147,18,65,Inspeccionar desgaste,38,1,Tarea finalizada correctamente.
148,18,60,Limpiar filtros de aire acondicionado,55,1,Tarea finalizada correctamente.
149,18,64,Ajustar embrague,76,1,Tarea finalizada correctamente.
150,18,58,Revisar dientes,63,1,Tarea finalizada correctamente.
151,18,69,Revisar mangueras,61,1,Tarea finalizada correctamente.
152,18,62,Revisar mangueras,63,1,Tarea finalizada correctamente.
153,19,96,Engrasar articulaciones,45,1,Tarea finalizada correctamente.
154,19,100,Verificar nivel de aceite,57,1,Tarea finalizada correctamente.
155,19,95,Cambiar filtro de combustible,61,1,Tarea finalizada correctamente.
156,19,98,Engrasar articulaciones,58,1,Tarea finalizada correctamente.
157,19,99,Cambiar refrigerante,40,1,Tarea finalizada correctamente.
158,19,101,Limpiar filtros de aire acondicionado,39,1,Tarea finalizada correctamente.
159,19,97,Revisar mangueras,36,1,Tarea finalizada correctamente.
160,20,89,Revisar bomba de agua,71,1,Tarea finalizada correctamente.
161,20,93,Soldar refuerzos,66,1,Tarea finalizada correctamente.
162,20,92,Lavar equipo completo,33,1,Tarea finalizada correctamente.
163,20,91,Cambiar sellos de cilindro,72,1,Tarea finalizada correctamente.
164,21,127,Verificar controles,78,1,Tarea finalizada correctamente.
165,21,125,Inspeccionar correas,44,1,Tarea finalizada correctamente.
166,21,123,Revisar luces de trabajo,30,1,Tarea finalizada correctamente.
167,21,121,Revisar terminales,49,1,Tarea finalizada correctamente.
168,21,119,Verificar cardanes,47,1,Tarea finalizada correctamente.
169,21,120,Engrasar articulaciones,50,1,Tarea finalizada correctamente.
170,21,115,Engrasar puntos de lubricación,39,1,Tarea finalizada correctamente.
171,21,117,Ajustar tensión,58,1,Tarea finalizada correctamente.
172,21,122,Inspeccionar desgaste,59,1,Tarea finalizada correctamente.
173,21,118,Revisar bomba de agua,59,1,Tarea finalizada correctamente.
174,21,114,Revisar discos,46,1,Tarea finalizada correctamente.
175,21,128,Cambiar cañerías,56,1,Tarea finalizada correctamente.
176,21,124,Cambiar filtro de aire,44,1,Tarea finalizada correctamente.
177,22,130,Verificar nivel de aceite,61,1,Tarea finalizada correctamente.
178,22,131,Revisar terminales,61,1,Tarea finalizada correctamente.
179,22,129,Verificar cardanes,49,1,Tarea finalizada correctamente.
180,23,102,Revisar mangueras,26,1,Tarea finalizada correctamente.
181,23,107,Verificar nivel de aceite,30,1,Tarea finalizada correctamente.
182,23,113,Inspección visual,31,1,Tarea finalizada correctamente.
183,23,105,Revisar nivel de refrigerante,33,1,Tarea finalizada correctamente.
184,23,110,Ajustar embrague,26,1,Tarea finalizada correctamente.
185,23,103,Cambiar bocinas,58,1,Tarea finalizada correctamente.
186,23,109,Limpiar trampa de agua,52,1,Tarea finalizada correctamente.
187,23,111,Inspeccionar DPF,55,1,Tarea finalizada correctamente.
188,23,108,Verificar cilindros,40,1,Tarea finalizada correctamente.
189,23,106,Alinear dirección,44,1,Tarea finalizada correctamente.
190,24,123,Revisar luces de trabajo,56,1,Tarea finalizada correctamente.
191,24,121,Revisar terminales,18,1,Tarea finalizada correctamente.
192,24,117,Ajustar tensión,45,1,Tarea finalizada correctamente.
193,24,120,Engrasar articulaciones,74,1,Tarea finalizada correctamente.
194,24,119,Verificar cardanes,35,1,Tarea finalizada correctamente.
195,24,118,Revisar bomba de agua,66,1,Tarea finalizada correctamente.
196,24,128,Cambiar cañerías,47,1,Tarea finalizada correctamente.
197,24,116,Inspeccionar DPF,40,1,Tarea finalizada correctamente.
198,24,114,Revisar discos,53,1,Tarea finalizada correctamente.
199,24,125,Inspeccionar correas,39,1,Tarea finalizada correctamente.
200,24,124,Cambiar filtro de aire,67,1,Tarea finalizada correctamente.
201,24,127,Verificar controles,77,1,Tarea finalizada correctamente.
202,24,122,Inspeccionar desgaste,53,1,Tarea finalizada correctamente.
203,25,119,Verificar cardanes,58,1,Tarea finalizada correctamente.
204,25,122,Inspeccionar desgaste,44,1,Tarea finalizada correctamente.
205,25,120,Engrasar articulaciones,82,1,Tarea finalizada correctamente.
206,25,125,Inspeccionar correas,65,1,Tarea finalizada correctamente.
207,25,126,Revisar mangueras,62,1,Tarea finalizada correctamente.
208,25,115,Engrasar puntos de lubricación,60,1,Tarea finalizada correctamente.
209,25,116,Inspeccionar DPF,43,1,Tarea finalizada correctamente.
210,25,124,Cambiar filtro de aire,33,1,Tarea finalizada correctamente.
211,25,123,Revisar luces de trabajo,28,1,Tarea finalizada correctamente.
212,25,127,Verificar controles,62,1,Tarea finalizada correctamente.
213,25,117,Ajustar tensión,33,1,Tarea finalizada correctamente.
214,25,128,Cambiar cañerías,44,1,Tarea finalizada correctamente.
215,25,121,Revisar terminales,18,1,Tarea finalizada correctamente.
216,26,90,Inspeccionar DPF,46,1,Tarea finalizada correctamente.
217,26,91,Cambiar sellos de cilindro,42,1,Tarea finalizada correctamente.
218,26,93,Soldar refuerzos,54,1,Tarea finalizada correctamente.
219,26,92,Lavar equipo completo,25,1,Tarea finalizada correctamente.
220,27,135,Revisar cinturón de seguridad,29,1,Tarea finalizada correctamente.
221,27,137,Cambiar bocinas,22,1,Tarea finalizada correctamente.
222,27,136,Cambiar filtro de aire,34,1,Tarea finalizada correctamente.
223,27,133,Ajustar pernos de rueda,26,1,Tarea finalizada correctamente.
224,28,141,Rotar neumáticos,61,1,Tarea finalizada correctamente.
225,28,144,Revisar inyectores,70,1,Tarea finalizada correctamente.
226,28,138,Revisar soportes de motor,36,1,Tarea finalizada correctamente.
227,28,145,Verificar silenciador,63,1,Tarea finalizada correctamente.
228,28,143,Revisar vidrios,45,1,Tarea finalizada correctamente.
229,28,139,Verificar pasadores,56,1,Tarea finalizada correctamente.
230,28,140,Engrasar crucetas,28,1,Tarea finalizada correctamente.
231,29,164,Reparar abolladuras,34,1,Tarea finalizada correctamente.
232,29,163,Revisar soportes de motor,72,1,Tarea finalizada correctamente.
233,29,161,Verificar sprockets,39,1,Tarea finalizada correctamente.
234,29,160,Verificar cilindros,42,1,Tarea finalizada correctamente.
235,29,162,Revisar pastillas,29,1,Tarea finalizada correctamente.
236,29,170,Drenar tanque,52,1,Tarea finalizada correctamente.
237,29,169,Revisar convertidor,43,1,Tarea finalizada correctamente.
238,29,166,Soldar refuerzos,57,1,Tarea finalizada correctamente.
239,29,165,Verificar presión,22,1,Tarea finalizada correctamente.
240,29,159,Revisar turbo,40,1,Tarea finalizada correctamente.
241,29,167,Verificar tablero,32,1,Tarea finalizada correctamente.
242,29,172,Cambiar filtro de aire,34,1,Tarea finalizada correctamente.
243,29,158,Revisar terminales,51,1,Tarea finalizada correctamente.
244,30,144,Revisar inyectores,50,1,Tarea finalizada correctamente.
245,30,142,Revisar asiento,86,1,Tarea finalizada correctamente.
246,30,139,Verificar pasadores,49,1,Tarea finalizada correctamente.
247,30,145,Verificar silenciador,74,1,Tarea finalizada correctamente.
248,30,141,Rotar neumáticos,68,1,Tarea finalizada correctamente.
249,30,140,Engrasar crucetas,27,1,Tarea finalizada correctamente.
250,30,143,Revisar vidrios,32,1,Tarea finalizada correctamente.
251,31,135,Revisar cinturón de seguridad,53,1,Tarea finalizada correctamente.
252,31,136,Cambiar filtro de aire,29,1,Tarea finalizada correctamente.
253,31,134,Revisar pastillas,48,1,Tarea finalizada correctamente.
254,31,137,Cambiar bocinas,26,1,Tarea finalizada correctamente.
255,32,197,Cambiar aceite hidráulico,55,1,Tarea finalizada correctamente.
256,32,193,Ajustar frenos,63,1,Tarea finalizada correctamente.
257,32,190,Inspección visual,51,1,Tarea finalizada correctamente.
258,32,191,Ajustar tensión,36,1,Tarea finalizada correctamente.
259,32,195,Engrasar articulaciones,51,1,Tarea finalizada correctamente.
260,32,198,Revisar turbo,46,1,Tarea finalizada correctamente.
261,32,194,Cambiar aceite de transmisión,38,1,Tarea finalizada correctamente.
262,32,199,Cambiar aceite de motor,29,1,Tarea finalizada correctamente.
263,32,201,Cambiar filtro de cabina,48,1,Tarea finalizada correctamente.
264,32,200,Reparar pinchazo,33,1,Tarea finalizada correctamente.
265,33,193,Ajustar frenos,48,1,Tarea finalizada correctamente.
266,33,190,Inspección visual,49,1,Tarea finalizada correctamente.
267,33,195,Engrasar articulaciones,63,1,Tarea finalizada correctamente.
268,33,199,Cambiar aceite de motor,42,1,Tarea finalizada correctamente.
269,33,198,Revisar turbo,59,1,Tarea finalizada correctamente.
270,33,197,Cambiar aceite hidráulico,42,1,Tarea finalizada correctamente.
271,33,192,Verificar tablero,60,1,Tarea finalizada correctamente.
272,33,194,Cambiar aceite de transmisión,59,1,Tarea finalizada correctamente.
273,33,191,Ajustar tensión,38,1,Tarea finalizada correctamente.
274,33,200,Reparar pinchazo,28,1,Tarea finalizada correctamente.
275,34,187,Ajustar válvulas,35,1,Tarea finalizada correctamente.
276,34,183,Revisar discos,39,1,Tarea finalizada correctamente.
277,34,185,Revisar terminales,40,1,Tarea finalizada correctamente.
278,34,182,Verificar motor de arranque,40,1,Tarea finalizada correctamente.
279,34,188,Cambiar filtro de combustible,44,1,Tarea finalizada correctamente.
280,34,189,Verificar cilindros,66,1,Tarea finalizada correctamente.
281,34,186,Cambiar cañerías,52,1,Tarea finalizada correctamente.
282,36,206,Inspeccionar rodillos,50,1,Tarea finalizada correctamente.
283,36,207,Rotar neumáticos,39,1,Tarea finalizada correctamente.
284,36,202,Revisar asiento,68,1,Tarea finalizada correctamente.
285,36,205,Inspeccionar correas,48,1,Tarea finalizada correctamente.
286,36,203,Cambiar aceite de motor,40,1,Tarea finalizada correctamente.
287,36,214,Lavar equipo completo,58,1,Tarea finalizada correctamente.
288,36,209,Cambiar empaques,50,1,Tarea finalizada correctamente.
289,36,215,Revisar discos,33,1,Tarea finalizada correctamente.
290,36,216,Soldar refuerzos,34,1,Tarea finalizada correctamente.
291,36,212,Revisar mangueras,57,1,Tarea finalizada correctamente.
292,36,208,Verificar juego,39,1,Tarea finalizada correctamente.
293,36,213,Cambiar aceite de transmisión,46,1,Tarea finalizada correctamente.
294,36,210,Verificar termostato,60,1,Tarea finalizada correctamente.
295,37,216,Soldar refuerzos,35,1,Tarea finalizada correctamente.
296,37,212,Revisar mangueras,52,1,Tarea finalizada correctamente.
297,37,215,Revisar discos,61,1,Tarea finalizada correctamente.
298,37,203,Cambiar aceite de motor,60,1,Tarea finalizada correctamente.
299,37,211,Revisar luces de trabajo,29,1,Tarea finalizada correctamente.
300,37,209,Cambiar empaques,59,1,Tarea finalizada correctamente.
301,37,204,Cambiar filtro de aceite,21,1,Tarea finalizada correctamente.
302,37,210,Verificar termostato,53,1,Tarea finalizada correctamente.
303,37,214,Lavar equipo completo,53,1,Tarea finalizada correctamente.
304,37,205,Inspeccionar correas,53,1,Tarea finalizada correctamente.
305,37,206,Inspeccionar rodillos,67,1,Tarea finalizada correctamente.
306,37,202,Revisar asiento,67,1,Tarea finalizada correctamente.
307,37,207,Rotar neumáticos,78,1,Tarea finalizada correctamente.
308,38,184,Engrasar crucetas,42,1,Tarea finalizada correctamente.
309,38,186,Cambiar cañerías,46,1,Tarea finalizada correctamente.
310,38,185,Revisar terminales,67,1,Tarea finalizada correctamente.
311,38,188,Cambiar filtro de combustible,63,1,Tarea finalizada correctamente.
312,38,189,Verificar cilindros,60,1,Tarea finalizada correctamente.
313,38,182,Verificar motor de arranque,65,1,Tarea finalizada correctamente.
314,38,183,Revisar discos,67,1,Tarea finalizada correctamente.
315,39,229,Verificar termostato,37,1,Tarea finalizada correctamente.
316,39,227,Ajustar tensión,38,1,Tarea finalizada correctamente.
317,39,228,Reparar pinchazo,51,1,Tarea finalizada correctamente.
318,39,233,Cambiar filtro de cabina,50,1,Tarea finalizada correctamente.
319,39,230,Alinear dirección,21,1,Tarea finalizada correctamente.
320,39,232,Soldar refuerzos,59,1,Tarea finalizada correctamente.
321,39,231,Verificar alternador,72,1,Tarea finalizada correctamente.
322,40,253,Cambiar sellos de cilindro,57,1,Tarea finalizada correctamente.
323,40,258,Verificar funcionamiento de motor,71,1,Tarea finalizada correctamente.
324,40,259,Cambiar bocinas,30,1,Tarea finalizada correctamente.
325,40,252,Revisar discos,35,1,Tarea finalizada correctamente.
326,40,256,Revisar bomba de agua,30,1,Tarea finalizada correctamente.
327,40,249,Verificar juego,54,1,Tarea finalizada correctamente.
328,40,255,Ajustar tensión,35,1,Tarea finalizada correctamente.
329,40,254,Verificar silenciador,45,1,Tarea finalizada correctamente.
330,40,248,Revisar asiento,52,1,Tarea finalizada correctamente.
331,40,260,Cambiar filtro de combustible,41,1,Tarea finalizada correctamente.
332,40,257,Revisar luces de trabajo,33,1,Tarea finalizada correctamente.
333,40,250,Rotar neumáticos,41,1,Tarea finalizada correctamente.
334,40,246,Reparar abolladuras,66,1,Tarea finalizada correctamente.
335,41,225,Reparar pinchazo,62,1,Tarea finalizada correctamente.
336,41,224,Ajustar válvulas,71,1,Tarea finalizada correctamente.
337,41,222,Verificar sprockets,49,1,Tarea finalizada correctamente.
338,41,221,Verificar juego,57,1,Tarea finalizada correctamente.
339,42,235,Verificar cardanes,52,1,Tarea finalizada correctamente.
340,42,240,Limpiar radiador,26,1,Tarea finalizada correctamente.
341,42,237,Revisar bomba de dirección,74,1,Tarea finalizada correctamente.
342,42,241,Revisar inyectores,76,1,Tarea finalizada correctamente.
343,42,244,Medir presiones de bomba,20,1,Tarea finalizada correctamente.
344,42,234,Cambiar filtro de aire,63,1,Tarea finalizada correctamente.
345,42,239,Verificar líquido de frenos,40,1,Tarea finalizada correctamente.
346,42,243,Cambiar bocinas,57,1,Tarea finalizada correctamente.
347,42,236,Ajustar tensión,80,1,Tarea finalizada correctamente.
348,42,245,Revisar batería,35,1,Tarea finalizada correctamente.
349,43,235,Verificar cardanes,34,1,Tarea finalizada correctamente.
350,43,234,Cambiar filtro de aire,85,1,Tarea finalizada correctamente.
351,43,236,Ajustar tensión,66,1,Tarea finalizada correctamente.
352,43,242,Pintar partes oxidadas,50,1,Tarea finalizada correctamente.
353,43,244,Medir presiones de bomba,36,1,Tarea finalizada correctamente.
354,43,245,Revisar batería,54,1,Tarea finalizada correctamente.
355,43,237,Revisar bomba de dirección,61,1,Tarea finalizada correctamente.
356,43,240,Limpiar radiador,48,1,Tarea finalizada correctamente.
357,43,241,Revisar inyectores,74,1,Tarea finalizada correctamente.
358,43,243,Cambiar bocinas,49,1,Tarea finalizada correctamente.
359,45,251,Limpiar trampa de agua,75,1,Tarea finalizada correctamente.
360,45,247,Verificar cardanes,26,1,Tarea finalizada correctamente.
361,45,248,Revisar asiento,48,1,Tarea finalizada correctamente.
362,45,259,Cambiar bocinas,45,1,Tarea finalizada correctamente.
363,45,252,Revisar discos,28,1,Tarea finalizada correctamente.
364,45,246,Reparar abolladuras,48,1,Tarea finalizada correctamente.
365,45,258,Verificar funcionamiento de motor,74,1,Tarea finalizada correctamente.
366,45,253,Cambiar sellos de cilindro,43,1,Tarea finalizada correctamente.
367,45,260,Cambiar filtro de combustible,45,1,Tarea finalizada correctamente.
368,45,250,Rotar neumáticos,35,1,Tarea finalizada correctamente.
369,45,255,Ajustar tensión,19,1,Tarea finalizada correctamente.
370,45,254,Verificar silenciador,59,1,Tarea finalizada correctamente.
371,45,257,Revisar luces de trabajo,37,1,Tarea finalizada correctamente.
372,46,269,Cambiar filtro de aceite,69,1,Tarea finalizada correctamente.
373,46,267,Verificar alternador,55,1,Tarea finalizada correctamente.
374,46,265,Cambiar empaques,53,1,Tarea finalizada correctamente.
375,46,268,Engrasar puntos de lubricación,47,1,Tarea finalizada correctamente.
376,47,295,Verificar presión,16,1,Tarea finalizada correctamente.
377,47,297,Revisar asiento,31,1,Tarea finalizada correctamente.
378,47,292,Revisar dientes,44,1,Tarea finalizada correctamente.
379,47,298,Cambiar aceite hidráulico,41,1,Tarea finalizada correctamente.
380,47,300,Cambiar aceite de motor,44,1,Tarea finalizada correctamente.
381,47,304,Cambiar empaques,64,1,Tarea finalizada correctamente.
382,47,294,Cambiar cañerías,58,1,Tarea finalizada correctamente.
383,47,299,Revisar vidrios,54,1,Tarea finalizada correctamente.
384,47,303,Alinear dirección,21,1,Tarea finalizada correctamente.
385,47,290,Verificar sprockets,67,1,Tarea finalizada correctamente.
386,47,296,Cambiar filtro de cabina,54,1,Tarea finalizada correctamente.
387,47,301,Ajustar embrague,69,1,Tarea finalizada correctamente.
388,47,293,Inspeccionar conexiones,46,1,Tarea finalizada correctamente.
389,48,268,Engrasar puntos de lubricación,42,1,Tarea finalizada correctamente.
390,48,269,Cambiar filtro de aceite,46,1,Tarea finalizada correctamente.
391,48,266,Ajustar tensión,63,1,Tarea finalizada correctamente.
392,48,267,Verificar alternador,48,1,Tarea finalizada correctamente.
393,49,281,Inspeccionar DPF,30,1,Tarea finalizada correctamente.
394,49,280,Revisar batería,59,1,Tarea finalizada correctamente.
395,49,284,Limpiar pre-filtro,56,1,Tarea finalizada correctamente.
396,49,283,Reparar abolladuras,42,1,Tarea finalizada correctamente.
397,49,287,Medir desgaste de zapatas,65,1,Tarea finalizada correctamente.
398,49,288,Limpiar filtros de aire acondicionado,24,1,Tarea finalizada correctamente.
399,49,285,Ajustar embrague,42,1,Tarea finalizada correctamente.
400,49,282,Tomar muestra de aceite,75,1,Tarea finalizada correctamente.
401,49,278,Revisar mangueras,47,1,Tarea finalizada correctamente.
402,49,289,Medir presiones de bomba,54,1,Tarea finalizada correctamente.
403,50,287,Medir desgaste de zapatas,56,1,Tarea finalizada correctamente.
404,50,283,Reparar abolladuras,46,1,Tarea finalizada correctamente.
405,50,278,Revisar mangueras,60,1,Tarea finalizada correctamente.
